Dep_Name,Pearson_Corr
"东北证券股份有限公司总部,中信证券股份有限公司深圳人民南路证券营业部",0.2
"中银国际证券有限责任公司上海新华路证券营业部,中信证券股份有限公司深圳望海路证券营业部",0.2
"广发华福证券有限责任公司宁德蕉城南路证券营业部,中国银河证券股份有限公司上海江苏北路证券营业部",0.2
"广发华福证券有限责任公司宁德蕉城南路证券营业部,东海证券有限责任公司洛阳凯旋西路证券营业部",0.2
"信达证券股份有限公司沈阳市府大路证券营业部,中信证券（浙江）有限责任公司泉州安吉路证券营业部",0.2
"宏源证券股份有限公司大连开发区新桥路证券营业部,广发华福证券有限责任公司福州广达路证券营业部",0.2
"中国银河证券股份有限公司福州华盛证券营业部,中国银河证券股份有限公司荆门证券营业部",0.2
"招商证券股份有限公司昆明北京路证券营业部,华泰证券股份有限公司兰州酒泉路证券营业部",0.2
"长城证券股份有限公司杭州世纪大道证券营业部,华泰证券股份有限公司扬州宝应叶挺东路证券营业部",0.333333333333
"中信建投证券股份有限公司郴州解放路证券营业部,中山证券有限责任公司上海东园路证券营业部",0.2
"东北证券股份有限公司长沙芙蓉中路证券营业部,海通证券股份有限公司淮北相山路证券营业部",0.2
"民生证券股份有限公司北京航丰路证券营业部,西南证券股份有限公司太原长治路证券营业部",0.2
"中天证券有限责任公司上海志丹路证券营业部,国元证券股份有限公司合肥芜湖路证券营业部",0.2
"西部证券股份有限公司上海西江湾路证券营业部,广发证券股份有限公司广州科韵路证券营业部",0.2
"五矿证券经纪有限责任公司深圳华富路证券营业部,广发证券股份有限公司佛山同济西路证券营业部",0.2
"长城证券有限责任公司南京童卫路证券营业部,光大证券股份有限公司上海宝山华和路证券营业部",0.2
"光大证券股份有限公司佛山季华路证券营业部,东吴证券有限责任公司杭州文晖路证券营业部",0.214285714286
"渤海证券股份有限公司天津奉化道证券营业部,方正证券股份有限公司衡阳祁东民生街证券营业部",0.2
"齐鲁证券有限公司重庆西郊路证券营业部,东吴证券有限责任公司苏州狮山路证券营业部",0.2
"齐鲁证券有限公司淄博中润大道证券营业部,中国银河证券股份有限公司上海江苏北路证券营业部",0.2
"中信证券（浙江）有限责任公司泉州安吉路证券营业部,恒泰证券股份有限公司上海祥德路证券营业部",0.2
"山西证券股份有限公司太原并州南路证券营业部,财达证券有限责任公司邯郸丛台路证券营业部",0.2
"东吴证券股份有限公司深圳宝安大道证券营业部,国盛证券有限责任公司萍乡市文化路证券营业部",0.25
"中国中投证券有限责任公司海口龙华路证券营业部,中信证券股份有限公司镇江电力路证券营业部",0.2
