,LEARNING_RATE,THRESHOLD,RETURN,TRADE_COUNT
162,0.37,0.1,0.60827,1321
163,0.37,0.2,0.78903,677
164,0.37,0.3,0.86404,272
165,0.37,0.4,0.93849,152
166,0.37,0.5,0.97382,58
167,0.37,0.6,0.98611,14
168,0.37,0.7,1.0,0
169,0.37,0.8,1.0,0
170,0.37,0.9,1.0,0
171,0.39,0.1,0.57677,1314
172,0.39,0.2,0.79844,653
173,0.39,0.3,0.87746,268
174,0.39,0.4,0.94017,146
175,0.39,0.5,0.97416,54
176,0.39,0.6,0.99176,10
177,0.39,0.7,1.0,0
178,0.39,0.8,1.0,0
179,0.39,0.9,1.0,0
180,0.41,0.1,0.56096,1214
181,0.41,0.2,0.81926,603
182,0.41,0.3,0.89468,254
183,0.41,0.4,0.94383,140
184,0.41,0.5,0.97473,50
185,0.41,0.6,0.99414,8
186,0.41,0.7,1.0,0
187,0.41,0.8,1.0,0
188,0.41,0.9,1.0,0
189,0.43,0.1,0.61414,1198
190,0.43,0.2,0.81898,585
191,0.43,0.3,0.89244,248
192,0.43,0.4,0.94315,138
193,0.43,0.5,0.97728,48
194,0.43,0.6,0.99414,8
195,0.43,0.7,1.0,0
196,0.43,0.8,1.0,0
197,0.43,0.9,1.0,0
198,0.45,0.1,0.64588,1154
199,0.45,0.2,0.83305,561
200,0.45,0.3,0.89953,236
201,0.45,0.4,0.94698,132
202,0.45,0.5,0.98215,42
203,0.45,0.6,0.99647,8
204,0.45,0.7,1.0,0
205,0.45,0.8,1.0,0
206,0.45,0.9,1.0,0
207,0.47,0.1,0.64914,1081
208,0.47,0.2,0.82412,525
209,0.47,0.3,0.91051,220
210,0.47,0.4,0.94583,134
211,0.47,0.5,0.98658,40
212,0.47,0.6,0.9953,6
213,0.47,0.7,1.0,0
214,0.47,0.8,1.0,0
215,0.47,0.9,1.0,0
216,0.49,0.1,0.70685,1002
217,0.49,0.2,0.83,495
218,0.49,0.3,0.90891,214
219,0.49,0.4,0.94336,128
220,0.49,0.5,0.98321,38
221,0.49,0.6,0.9953,6
222,0.49,0.7,1.0,0
223,0.49,0.8,1.0,0
224,0.49,0.9,1.0,0
225,0.51,0.1,0.71257,969
226,0.51,0.2,0.83238,481
227,0.51,0.3,0.89857,210
228,0.51,0.4,0.94753,124
229,0.51,0.5,0.98308,38
230,0.51,0.6,0.9953,6
231,0.51,0.7,1.0,0
232,0.51,0.8,1.0,0
233,0.51,0.9,1.0,0
234,0.53,0.1,0.72507,923
235,0.53,0.2,0.84417,471
236,0.53,0.3,0.90177,204
237,0.53,0.4,0.94781,120
238,0.53,0.5,0.98869,36
239,0.53,0.6,0.9953,6
240,0.53,0.7,1.0,0
241,0.53,0.8,1.0,0
242,0.53,0.9,1.0,0
243,0.55,0.1,0.75126,923
244,0.55,0.2,0.84225,463
245,0.55,0.3,0.89942,202
246,0.55,0.4,0.95443,116
247,0.55,0.5,0.98384,34
248,0.55,0.6,0.9953,6
249,0.55,0.7,1.0,0
250,0.55,0.8,1.0,0
251,0.55,0.9,1.0,0
252,0.57,0.1,0.75203,890
253,0.57,0.2,0.84762,447
254,0.57,0.3,0.90501,194
255,0.57,0.4,0.95037,110
256,0.57,0.5,0.98612,34
257,0.57,0.6,0.9953,6
258,0.57,0.7,1.0,0
259,0.57,0.8,1.0,0
260,0.57,0.9,1.0,0
261,0.59,0.1,0.6847,879
262,0.59,0.2,0.8461,435
263,0.59,0.3,0.90975,200
264,0.59,0.4,0.95529,110
265,0.59,0.5,0.98698,32
266,0.59,0.6,0.99487,8
267,0.59,0.7,1.0,0
268,0.59,0.8,1.0,0
269,0.59,0.9,1.0,0
270,0.61,0.1,0.7718,820
271,0.61,0.2,0.84149,411
272,0.61,0.3,0.92199,190
273,0.61,0.4,0.95519,102
274,0.61,0.5,0.98663,30
275,0.61,0.6,0.99487,8
276,0.61,0.7,1.0,0
277,0.61,0.8,1.0,0
278,0.61,0.9,1.0,0
279,0.63,0.1,0.67701,825
280,0.63,0.2,0.84091,407
281,0.63,0.3,0.92163,184
282,0.63,0.4,0.95988,102
283,0.63,0.5,0.99016,34
284,0.63,0.6,0.99551,6
285,0.63,0.7,1.0,0
286,0.63,0.8,1.0,0
287,0.63,0.9,1.0,0
288,0.65,0.1,0.75761,800
289,0.65,0.2,0.84214,389
290,0.65,0.3,0.92717,180
291,0.65,0.4,0.9583,98
292,0.65,0.5,0.99107,28
293,0.65,0.6,0.99496,8
294,0.65,0.7,1.0,0
295,0.65,0.8,1.0,0
296,0.65,0.9,1.0,0
297,0.67,0.1,0.66421,783
298,0.67,0.2,0.84772,395
299,0.67,0.3,0.91405,178
300,0.67,0.4,0.96222,98
301,0.67,0.5,0.99208,28
302,0.67,0.6,0.99336,6
303,0.67,0.7,1.0,0
304,0.67,0.8,1.0,0
305,0.67,0.9,1.0,0
306,0.69,0.1,0.76775,737
307,0.69,0.2,0.86744,379
308,0.69,0.3,0.91126,174
309,0.69,0.4,0.96661,88
310,0.69,0.5,0.99056,26
311,0.69,0.6,0.99458,4
312,0.69,0.7,1.0,0
313,0.69,0.8,1.0,0
314,0.69,0.9,1.0,0
315,0.71,0.1,0.77346,736
316,0.71,0.2,0.86933,377
317,0.71,0.3,0.90402,174
318,0.71,0.4,0.96453,88
319,0.71,0.5,0.9917,24
320,0.71,0.6,0.99334,6
321,0.71,0.7,1.0,0
322,0.71,0.8,1.0,0
323,0.71,0.9,1.0,0
324,0.73,0.1,0.70575,740
325,0.73,0.2,0.87721,379
326,0.73,0.3,0.90571,170
327,0.73,0.4,0.95246,94
328,0.73,0.5,0.99765,24
329,0.73,0.6,0.99464,4
330,0.73,0.7,1.0,0
331,0.73,0.8,1.0,0
332,0.73,0.9,1.0,0
333,0.75,0.1,0.75705,718
334,0.75,0.2,0.89451,367
335,0.75,0.3,0.908,166
336,0.75,0.4,0.96017,86
337,0.75,0.5,0.99959,28
338,0.75,0.6,0.99409,6
339,0.75,0.7,1.0,0
340,0.75,0.8,1.0,0
341,0.75,0.9,1.0,0
342,0.77,0.1,0.79553,708
343,0.77,0.2,0.90113,357
344,0.77,0.3,0.91692,166
345,0.77,0.4,0.95549,84
346,0.77,0.5,0.99578,26
347,0.77,0.6,0.99342,6
348,0.77,0.7,1.0,0
349,0.77,0.8,1.0,0
350,0.77,0.9,1.0,0
351,0.79,0.1,0.83935,663
352,0.79,0.2,0.9087,343
353,0.79,0.3,0.92103,162
354,0.79,0.4,0.95769,84
355,0.79,0.5,0.99857,20
356,0.79,0.6,0.99409,6
357,0.79,0.7,1.0,0
358,0.79,0.8,1.0,0
359,0.79,0.9,1.0,0
360,0.81,0.1,0.86687,640
361,0.81,0.2,0.89842,319
362,0.81,0.3,0.92484,158
363,0.81,0.4,0.961,76
364,0.81,0.5,0.99934,18
365,0.81,0.6,0.99409,6
366,0.81,0.7,1.0,0
367,0.81,0.8,1.0,0
368,0.81,0.9,1.0,0
369,0.83,0.1,0.85839,628
370,0.83,0.2,0.90994,309
371,0.83,0.3,0.91901,150
372,0.83,0.4,0.95432,72
373,0.83,0.5,0.99727,18
374,0.83,0.6,0.99409,6
375,0.83,0.7,1.0,0
376,0.83,0.8,1.0,0
377,0.83,0.9,1.0,0
378,0.85,0.1,0.89992,636
379,0.85,0.2,0.90699,323
380,0.85,0.3,0.91834,158
381,0.85,0.4,0.95805,72
382,0.85,0.5,0.99835,18
383,0.85,0.6,0.99409,6
384,0.85,0.7,1.0,0
385,0.85,0.8,1.0,0
386,0.85,0.9,1.0,0
387,0.87,0.1,0.75516,600
388,0.87,0.2,0.91055,285
389,0.87,0.3,0.92272,138
390,0.87,0.4,0.95808,64
391,0.87,0.5,0.99776,14
392,0.87,0.6,0.99383,6
393,0.87,0.7,1.0,0
394,0.87,0.8,1.0,0
395,0.87,0.9,1.0,0
396,0.89,0.1,0.85422,618
397,0.89,0.2,0.89257,301
398,0.89,0.3,0.91965,146
399,0.89,0.4,0.96223,68
400,0.89,0.5,0.99996,22
401,0.89,0.6,0.99383,6
402,0.89,0.7,1.0,0
403,0.89,0.8,1.0,0
404,0.89,0.9,1.0,0
405,0.91,0.1,0.68561,625
406,0.91,0.2,0.8971,323
407,0.91,0.3,0.92757,154
408,0.91,0.4,0.96415,72
409,0.91,0.5,0.99645,20
410,0.91,0.6,0.99383,6
411,0.91,0.7,1.0,0
412,0.91,0.8,1.0,0
413,0.91,0.9,1.0,0
414,0.93,0.1,0.84258,592
415,0.93,0.2,0.88696,289
416,0.93,0.3,0.93941,144
417,0.93,0.4,0.9584,72
418,0.93,0.5,0.99684,16
419,0.93,0.6,0.99383,6
420,0.93,0.7,1.0,0
421,0.93,0.8,1.0,0
422,0.93,0.9,1.0,0
423,0.95,0.1,0.92539,558
424,0.95,0.2,0.8926,275
425,0.95,0.3,0.93341,138
426,0.95,0.4,0.9576,68
427,0.95,0.5,0.99632,16
428,0.95,0.6,0.99383,6
429,0.95,0.7,1.0,0
430,0.95,0.8,1.0,0
431,0.95,0.9,1.0,0
432,0.97,0.1,0.89752,551
433,0.97,0.2,0.88193,275
434,0.97,0.3,0.9464,130
435,0.97,0.4,0.95681,72
436,0.97,0.5,0.99635,14
437,0.97,0.6,0.99511,4
438,0.97,0.7,1.0,0
439,0.97,0.8,1.0,0
440,0.97,0.9,1.0,0
441,0.99,0.1,0.77605,569
442,0.99,0.2,0.87048,271
443,0.99,0.3,0.94113,136
444,0.99,0.4,0.95614,66
445,0.99,0.5,0.99683,18
446,0.99,0.6,0.99511,4
447,0.99,0.7,1.0,0
448,0.99,0.8,1.0,0
449,0.99,0.9,1.0,0
450,1.0,0.1,0.89009,573
451,1.0,0.2,0.86752,285
452,1.0,0.3,0.94874,132
453,1.0,0.4,0.95893,64
454,1.0,0.5,0.99702,18
455,1.0,0.6,0.99511,4
456,1.0,0.7,1.0,0
457,1.0,0.8,1.0,0
458,1.0,0.9,1.0,0
459,2.0,0.1,0.94196,416
460,2.0,0.2,0.85591,187
461,2.0,0.3,0.94614,78
462,2.0,0.4,0.97605,36
463,2.0,0.5,0.99722,8
464,2.0,0.6,0.99865,4
465,2.0,0.7,1.0,0
466,2.0,0.8,1.0,0
467,2.0,0.9,1.0,0
468,4.0,0.1,0.65197,271
469,4.0,0.2,0.84552,154
470,4.0,0.3,0.96952,58
471,4.0,0.4,0.98643,20
472,4.0,0.5,0.99809,4
473,4.0,0.6,1.0,0
474,4.0,0.7,1.0,0
475,4.0,0.8,1.0,0
476,4.0,0.9,1.0,0
477,6.0,0.1,0.86973,310
478,6.0,0.2,0.93327,164
479,6.0,0.3,0.94502,43
480,6.0,0.4,0.99216,14
481,6.0,0.5,0.99342,4
482,6.0,0.6,1.0,0
483,6.0,0.7,1.0,0
484,6.0,0.8,1.0,0
485,6.0,0.9,1.0,0
486,8.0,0.1,0.9821,363
487,8.0,0.2,1.08029,176
488,8.0,0.3,0.91486,71
489,8.0,0.4,0.92988,21
490,8.0,0.5,0.91788,3
491,8.0,0.6,1.0,0
492,8.0,0.7,1.0,0
493,8.0,0.8,1.0,0
494,8.0,0.9,1.0,0
495,10.0,0.1,0.94146,309
496,10.0,0.2,0.96567,190
497,10.0,0.3,0.94679,61
498,10.0,0.4,0.94366,17
499,10.0,0.5,0.92402,5
500,10.0,0.6,1.06721,1
501,10.0,0.7,1.0,0
502,10.0,0.8,1.0,0
503,10.0,0.9,1.0,0
504,12.0,0.1,0.95124,210
505,12.0,0.2,0.95328,204
506,12.0,0.3,0.95093,113
507,12.0,0.4,0.95723,39
508,12.0,0.5,0.95078,7
509,12.0,0.6,1.06718,1
510,12.0,0.7,1.0,0
511,12.0,0.8,1.0,0
512,12.0,0.9,1.0,0
513,14.0,0.1,1.0322,242
514,14.0,0.2,0.95168,274
515,14.0,0.3,0.96074,115
516,14.0,0.4,0.9916,39
517,14.0,0.5,0.99279,15
518,14.0,0.6,1.06159,3
519,14.0,0.7,1.0,0
520,14.0,0.8,1.0,0
521,14.0,0.9,1.0,0
522,16.0,0.1,0.98143,160
523,16.0,0.2,0.98478,190
524,16.0,0.3,0.9426,139
525,16.0,0.4,0.9627,75
526,16.0,0.5,1.01658,25
527,16.0,0.6,1.0408,3
528,16.0,0.7,1.0,0
529,16.0,0.8,1.0,0
530,16.0,0.9,1.0,0
531,18.0,0.1,0.87231,299
