,accumulate return
399,-0.07949
400,-0.09066
401,-0.09627
402,-0.09467
403,-0.09614
404,-0.11327
405,-0.08849
406,-0.10398
407,-0.08586
408,-0.10072
409,-0.09516
410,-0.09778
411,-0.06274
412,-0.09801
413,-0.10472
414,-0.11112
415,-0.10351
416,-0.11404
417,-0.11249
418,-0.09753
419,-0.07621
420,-0.09202
421,-0.07813
422,-0.09
423,-0.11805
424,-0.07873
425,-0.077
426,-0.10341
427,-0.0887
428,-0.092
429,-0.08666
430,-0.08345
431,-0.08869
432,-0.07994
433,-0.10015
434,-0.10825
435,-0.09191
436,-0.0946
437,-0.08283
438,-0.10289
439,-0.07261
440,-0.08137
441,-0.09219
442,-0.10521
443,-0.11411
444,-0.10532
445,-0.10799
446,-0.07677
447,-0.08754
448,-0.09464
449,-0.0872
450,-0.08544
451,-0.10688
452,-0.10109
453,-0.09666
454,-0.11251
455,-0.07107
456,-0.10982
457,-0.10191
458,-0.11679
459,-0.06915
460,-0.08281
461,-0.08096
462,-0.08576
463,-0.1315
464,-0.07334
465,-0.09917
466,-0.09334
467,-0.10327
468,-0.07319
469,-0.10182
470,-0.08855
471,-0.10483
472,-0.10195
473,-0.11498
474,-0.09735
475,-0.12381
476,-0.08229
477,-0.13706
478,-0.1113
479,-0.09158
480,-0.07276
481,-0.10724
482,-0.10859
483,-0.09289
484,-0.10639
485,-0.06468
486,-0.06909
487,-0.10398
488,-0.1321
489,-0.08096
490,-0.10851
491,-0.10943
492,-0.11656
493,-0.12728
494,-0.0874
495,-0.10934
496,-0.09851
497,-0.08739
498,-0.10426
499,-0.07003
500,-0.11571
501,-0.08425
502,-0.11426
503,-0.11732
504,-0.08404
505,-0.06912
506,-0.09799
507,-0.12242
508,-0.0814
509,-0.08934
510,-0.13251
511,-0.08736
512,-0.09377
513,-0.07244
514,-0.10603
515,-0.09253
516,-0.10195
517,-0.09351
518,-0.10015
519,-0.08243
520,-0.11081
521,-0.09185
522,-0.11311
523,-0.11209
524,-0.0713
525,-0.08381
526,-0.07934
527,-0.09223
528,-0.09927
529,-0.09148
530,-0.08817
531,-0.10662
532,-0.10442
533,-0.12932
534,-0.0731
535,-0.10497
536,-0.10934
537,-0.1114
538,-0.10962
539,-0.09571
540,-0.12062
541,-0.1119
542,-0.08894
543,-0.108
544,-0.09072
545,-0.09281
546,-0.08751
547,-0.08495
548,-0.09611
549,-0.09784
550,-0.07203
551,-0.10914
552,-0.12325
553,-0.11417
554,-0.07561
555,-0.0783
556,-0.10826
557,-0.11942
558,-0.10014
559,-0.09706
560,-0.11098
561,-0.07685
562,-0.09783
563,-0.10706
564,-0.10033
565,-0.10101
566,-0.09274
567,-0.10833
568,-0.09545
569,-0.11174
570,-0.07452
571,-0.07833
572,-0.11808
573,-0.11117
574,-0.09949
575,-0.08567
576,-0.10842
577,-0.09237
578,-0.11147
579,-0.09754
580,-0.10611
581,-0.10062
582,-0.11554
583,-0.11126
584,-0.08127
585,-0.0834
586,-0.08477
587,-0.08943
588,-0.08087
589,-0.10842
590,-0.11762
591,-0.09333
592,-0.11426
593,-0.09359
594,-0.1013
595,-0.11631
596,-0.07719
597,-0.08058
598,-0.10173
599,-0.07081
600,-0.11498
601,-0.10148
602,-0.10608
603,-0.11863
604,-0.09251
605,-0.10403
606,-0.08347
607,-0.08311
608,-0.08859
609,-0.09037
610,-0.09282
611,-0.09294
612,-0.09895
613,-0.12404
614,-0.10189
615,-0.08808
616,-0.11125
617,-0.10061
618,-0.10319
619,-0.11639
620,-0.10087
621,-0.11755
622,-0.087
623,-0.09216
624,-0.08843
625,-0.10274
626,-0.10585
627,-0.07834
628,-0.09548
629,-0.10364
630,-0.11592
631,-0.10072
632,-0.11702
633,-0.0855
634,-0.08154
635,-0.09312
636,-0.08661
637,-0.0983
638,-0.08345
639,-0.09743
640,-0.09745
641,-0.1134
642,-0.09003
643,-0.10595
644,-0.1104
645,-0.10001
646,-0.0897
647,-0.10822
648,-0.12203
649,-0.09441
650,-0.08999
651,-0.08736
652,-0.10752
653,-0.08706
654,-0.1038
655,-0.076
656,-0.09012
657,-0.11239
658,-0.11923
659,-0.08961
660,-0.10616
661,-0.09145
662,-0.10261
663,-0.10503
664,-0.09209
665,-0.09007
666,-0.10203
667,-0.10143
668,-0.09007
669,-0.0856
670,-0.12374
671,-0.12743
672,-0.10369
673,-0.1122
674,-0.09326
675,-0.10053
676,-0.08006
677,-0.07499
678,-0.09069
679,-0.11204
680,-0.10001
681,-0.08402
682,-0.12774
683,-0.07538
684,-0.10597
685,-0.1413
686,-0.12477
687,-0.07151
688,-0.11572
689,-0.0705
690,-0.11362
691,-0.08855
692,-0.11048
693,-0.07644
694,-0.10717
695,-0.10683
696,-0.09468
697,-0.11883
698,-0.11129
699,-0.10595
700,-0.1056
701,-0.09925
702,-0.10908
703,-0.11653
704,-0.081
705,-0.0683
706,-0.09115
707,-0.09512
708,-0.09365
709,-0.1043
710,-0.10413
711,-0.10792
712,-0.11461
713,-0.09619
714,-0.08383
715,-0.09496
716,-0.09386
717,-0.12266
718,-0.08663
719,-0.09195
720,-0.12533
721,-0.07903
