INFO:root:Time start : 2016-05-16-08:56:37
INFO:root:accumulate return : -0.10199
INFO:root:accumulate return : -0.11115
INFO:root:accumulate return : -0.08625
INFO:root:accumulate return : -0.11364
INFO:root:accumulate return : -0.1054
INFO:root:accumulate return : -0.09681
INFO:root:accumulate return : -0.09424
INFO:root:accumulate return : -0.0872
INFO:root:accumulate return : -0.09336
INFO:root:accumulate return : -0.1028
INFO:root:accumulate return : -0.11739
INFO:root:accumulate return : -0.11518
INFO:root:accumulate return : -0.06715
INFO:root:accumulate return : -0.09375
INFO:root:accumulate return : -0.07528
INFO:root:accumulate return : -0.09758
INFO:root:accumulate return : -0.07769
INFO:root:accumulate return : -0.07915
INFO:root:accumulate return : -0.06709
INFO:root:accumulate return : -0.09701
INFO:root:accumulate return : -0.08596
INFO:root:accumulate return : -0.10142
INFO:root:accumulate return : -0.09845
INFO:root:accumulate return : -0.10885
INFO:root:accumulate return : -0.0657
INFO:root:accumulate return : -0.08799
INFO:root:accumulate return : -0.04812
INFO:root:accumulate return : -0.11571
INFO:root:accumulate return : -0.04205
INFO:root:accumulate return : -0.0647
INFO:root:accumulate return : -0.05437
INFO:root:accumulate return : -0.07365
INFO:root:accumulate return : -0.08997
INFO:root:accumulate return : -0.03609
INFO:root:accumulate return : -0.08186
INFO:root:accumulate return : -0.08819
INFO:root:accumulate return : -0.09999
INFO:root:accumulate return : -0.08768
INFO:root:accumulate return : -0.06659
INFO:root:accumulate return : -0.04482
INFO:root:accumulate return : -0.05091
INFO:root:accumulate return : -0.07609
INFO:root:accumulate return : -0.08493
INFO:root:accumulate return : -0.03235
INFO:root:accumulate return : -0.11327
INFO:root:accumulate return : -0.10286
INFO:root:accumulate return : -0.06228
INFO:root:accumulate return : -0.07024
INFO:root:accumulate return : -0.09252
INFO:root:accumulate return : -0.04244
INFO:root:accumulate return : -0.0906
INFO:root:accumulate return : -0.08392
INFO:root:accumulate return : -0.08569
INFO:root:accumulate return : -0.07929
INFO:root:accumulate return : -0.04434
INFO:root:accumulate return : -0.05478
INFO:root:accumulate return : -0.07491
INFO:root:accumulate return : -0.04706
INFO:root:accumulate return : -0.08142
INFO:root:accumulate return : -0.05898
INFO:root:accumulate return : -0.03031
INFO:root:accumulate return : -0.07631
INFO:root:accumulate return : -0.03114
INFO:root:accumulate return : -0.08985
INFO:root:accumulate return : -0.05747
INFO:root:accumulate return : -0.07455
INFO:root:accumulate return : -0.04099
INFO:root:accumulate return : -0.08004
INFO:root:accumulate return : -0.07248
INFO:root:accumulate return : -0.0581
INFO:root:accumulate return : -0.04905
INFO:root:accumulate return : -0.07452
INFO:root:accumulate return : -0.0245
INFO:root:accumulate return : -0.08407
INFO:root:accumulate return : -0.10544
INFO:root:accumulate return : -0.07174
INFO:root:accumulate return : -0.06281
INFO:root:accumulate return : -0.05482
INFO:root:accumulate return : -0.06872
INFO:root:accumulate return : -0.05584
INFO:root:accumulate return : -0.07798
INFO:root:accumulate return : -0.05871
INFO:root:accumulate return : -0.06252
INFO:root:accumulate return : -0.0017
INFO:root:accumulate return : -0.06712
INFO:root:accumulate return : -0.0718
INFO:root:accumulate return : -0.04032
INFO:root:accumulate return : -0.05193
INFO:root:accumulate return : -0.0503
INFO:root:accumulate return : -0.03877
INFO:root:accumulate return : -0.05156
INFO:root:accumulate return : -0.04001
INFO:root:accumulate return : -0.07209
INFO:root:accumulate return : -0.03636
INFO:root:accumulate return : -0.05517
INFO:root:accumulate return : -0.01601
INFO:root:accumulate return : -0.04139
INFO:root:accumulate return : -0.02108
INFO:root:accumulate return : -0.05307
INFO:root:accumulate return : -0.05785
INFO:root:accumulate return : -0.04545
INFO:root:accumulate return : -0.02023
INFO:root:accumulate return : -0.02824
INFO:root:accumulate return : -0.03275
INFO:root:accumulate return : -0.01968
INFO:root:accumulate return : -0.0223
INFO:root:accumulate return : -0.04751
INFO:root:accumulate return : -0.08448
INFO:root:accumulate return : -0.07184
INFO:root:accumulate return : -0.06486
INFO:root:accumulate return : -0.03691
INFO:root:accumulate return : -0.03489
INFO:root:accumulate return : -0.00832
INFO:root:accumulate return : -0.02395
INFO:root:accumulate return : -0.00247
INFO:root:accumulate return : 0.01023
INFO:root:accumulate return : -0.06055
INFO:root:accumulate return : -0.0407
INFO:root:accumulate return : -0.03383
INFO:root:accumulate return : -0.0309
INFO:root:accumulate return : -0.02717
INFO:root:accumulate return : -0.04275
INFO:root:accumulate return : -0.03357
INFO:root:accumulate return : -0.04723
INFO:root:accumulate return : -0.01535
INFO:root:accumulate return : -0.02454
INFO:root:accumulate return : -0.03811
INFO:root:accumulate return : -0.05987
INFO:root:accumulate return : -0.03821
INFO:root:accumulate return : 0.00444
INFO:root:accumulate return : -0.09279
INFO:root:accumulate return : -0.06587
INFO:root:accumulate return : -0.0474
INFO:root:accumulate return : -0.06889
INFO:root:accumulate return : -0.06842
INFO:root:accumulate return : -0.01808
INFO:root:accumulate return : 0.01753
INFO:root:accumulate return : -0.03932
INFO:root:accumulate return : -0.04894
INFO:root:accumulate return : 0.01935
INFO:root:accumulate return : -0.06966
INFO:root:accumulate return : -0.07558
INFO:root:accumulate return : -0.04481
INFO:root:accumulate return : -0.02096
INFO:root:accumulate return : 0.00348
INFO:root:accumulate return : -0.0744
INFO:root:accumulate return : -0.02082
INFO:root:accumulate return : -0.03133
INFO:root:accumulate return : -0.05615
INFO:root:accumulate return : -0.06878
INFO:root:accumulate return : -0.0174
INFO:root:accumulate return : -0.0184
INFO:root:accumulate return : 0.00601
INFO:root:accumulate return : -0.02566
INFO:root:accumulate return : -0.06285
INFO:root:accumulate return : -0.03863
INFO:root:accumulate return : -0.0021
INFO:root:accumulate return : -0.01328
INFO:root:accumulate return : -0.01746
INFO:root:accumulate return : -0.05332
INFO:root:accumulate return : -0.02179
INFO:root:accumulate return : -0.0012
INFO:root:accumulate return : -0.01559
INFO:root:accumulate return : -0.04478
INFO:root:accumulate return : -0.02129
INFO:root:accumulate return : 0.00154
INFO:root:accumulate return : 0.0105
INFO:root:accumulate return : -0.06515
INFO:root:accumulate return : -0.03828
INFO:root:accumulate return : -0.01418
INFO:root:accumulate return : -0.02294
INFO:root:accumulate return : -0.00405
INFO:root:accumulate return : -0.03494
INFO:root:accumulate return : -0.05394
INFO:root:accumulate return : -0.03486
INFO:root:accumulate return : 0.03966
INFO:root:accumulate return : -0.02783
INFO:root:accumulate return : -0.00669
INFO:root:accumulate return : -0.04167
INFO:root:accumulate return : -0.02025
INFO:root:accumulate return : 0.00259
INFO:root:accumulate return : -0.02351
INFO:root:accumulate return : -0.00514000000001
INFO:root:accumulate return : -0.03089
INFO:root:accumulate return : -0.00845
INFO:root:accumulate return : 0.00756
INFO:root:accumulate return : 0.051
INFO:root:accumulate return : -0.000790000000005
INFO:root:accumulate return : -0.00731
INFO:root:accumulate return : -0.0405
INFO:root:accumulate return : -0.0046
INFO:root:accumulate return : -0.00142000000001
INFO:root:accumulate return : 0.02229
INFO:root:accumulate return : 0.00556
INFO:root:accumulate return : -0.00277
INFO:root:accumulate return : 0.00611
INFO:root:accumulate return : 0.01443
INFO:root:accumulate return : -0.01584
INFO:root:accumulate return : -0.0023
INFO:root:accumulate return : 0.00777
INFO:root:accumulate return : -0.01074
INFO:root:accumulate return : -0.00777000000001
INFO:root:accumulate return : -0.0035
INFO:root:accumulate return : 0.00459
INFO:root:accumulate return : -0.04461
INFO:root:accumulate return : -0.03653
INFO:root:accumulate return : -0.01332
INFO:root:accumulate return : 0.022
INFO:root:accumulate return : -0.01703
INFO:root:accumulate return : -0.00259
INFO:root:accumulate return : -0.02427
INFO:root:accumulate return : -0.00529
INFO:root:accumulate return : -0.01228
INFO:root:accumulate return : -0.02067
INFO:root:accumulate return : -0.02225
INFO:root:accumulate return : -0.00685
INFO:root:accumulate return : 0.0061
INFO:root:accumulate return : -0.04233
INFO:root:accumulate return : -0.02398
INFO:root:accumulate return : -0.0128
INFO:root:accumulate return : -0.00303
INFO:root:accumulate return : -0.03112
INFO:root:accumulate return : -0.02452
INFO:root:accumulate return : 0.02412
INFO:root:accumulate return : -0.01311
INFO:root:accumulate return : -0.0067
INFO:root:accumulate return : -0.01299
INFO:root:accumulate return : -0.01972
INFO:root:accumulate return : -0.0074
INFO:root:accumulate return : -0.01011
INFO:root:accumulate return : 0.00305
INFO:root:accumulate return : 0.03
INFO:root:accumulate return : -0.00307
INFO:root:accumulate return : -0.01326
INFO:root:accumulate return : 0.01557
INFO:root:accumulate return : 0.02148
INFO:root:accumulate return : 0.000529999999997
INFO:root:accumulate return : -0.0018
INFO:root:accumulate return : -0.03563
INFO:root:accumulate return : 0.02421
INFO:root:accumulate return : -0.02261
INFO:root:accumulate return : 0.0098
INFO:root:accumulate return : -0.00467
INFO:root:accumulate return : 0.00132
INFO:root:accumulate return : -0.00128
INFO:root:accumulate return : -0.0479
INFO:root:accumulate return : -0.00853000000001
INFO:root:accumulate return : 0.00316
INFO:root:accumulate return : -0.01168
INFO:root:accumulate return : -0.02074
INFO:root:accumulate return : -0.00431
INFO:root:accumulate return : -0.01193
INFO:root:accumulate return : -0.02208
INFO:root:accumulate return : -0.03086
INFO:root:accumulate return : 0.02763
INFO:root:accumulate return : -0.01001
INFO:root:accumulate return : -0.02003
INFO:root:accumulate return : 0.01921
INFO:root:accumulate return : -0.0149
INFO:root:accumulate return : 0.00759
INFO:root:accumulate return : 0.000309999999998
INFO:root:accumulate return : 0.00836
INFO:root:accumulate return : -0.00335
INFO:root:accumulate return : 0.0211
INFO:root:accumulate return : -0.02401
INFO:root:accumulate return : 0.02141
INFO:root:accumulate return : -0.01089
INFO:root:accumulate return : 0.00325
INFO:root:accumulate return : -0.04692
INFO:root:accumulate return : 0.03177
INFO:root:accumulate return : 0.01571
INFO:root:accumulate return : -4.00000000008e-05
INFO:root:accumulate return : -0.00237
INFO:root:accumulate return : 0.05357
INFO:root:accumulate return : -0.00607
INFO:root:accumulate return : 0.00502
INFO:root:accumulate return : -0.01119
INFO:root:accumulate return : -0.03107
INFO:root:accumulate return : -0.01101
INFO:root:accumulate return : 0.01473
INFO:root:accumulate return : -0.00879
INFO:root:accumulate return : 0.02023
INFO:root:accumulate return : -0.00945
INFO:root:accumulate return : 0.01712
INFO:root:accumulate return : -0.02565
INFO:root:accumulate return : 0.02848
INFO:root:accumulate return : -0.02395
INFO:root:accumulate return : -0.00543
INFO:root:accumulate return : 0.00948
INFO:root:accumulate return : 0.0123
INFO:root:accumulate return : 0.00255
INFO:root:accumulate return : 0.01364
