INFO:root:Version : 7
INFO:root:Time start : 2016-06-03-05-00-08
INFO:root:Input data :GBPUSD240.csv
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch =500
INFO:root:max_memory = 1000000
INFO:root:batch_size = 200
INFO:root:look back term = 500
INFO:root:hidden_size = 1000
INFO:root:training period = 0 ~ 10000
INFO:root:learning rate = 0.1
INFO:root:discount rate = 9e-06
INFO:root:step_size = 10
INFO:root:activation function = relu
INFO:root:accumulate return : -1.871
INFO:root:accumulate return : -1.9872
INFO:root:accumulate return : -2.1131
INFO:root:accumulate return : -2.1727
INFO:root:accumulate return : -2.0562
INFO:root:accumulate return : -1.9075
INFO:root:accumulate return : -2.0578
INFO:root:accumulate return : -2.0161
INFO:root:accumulate return : -1.9795
INFO:root:accumulate return : -2.2281
INFO:root:accumulate return : 0.0323
INFO:root:accumulate return : 0.193
INFO:root:accumulate return : -0.0935
INFO:root:accumulate return : -0.1488
INFO:root:accumulate return : -0.00870000000001
INFO:root:accumulate return : -0.0475
INFO:root:accumulate return : 0.0791
INFO:root:accumulate return : 0.0748
INFO:root:accumulate return : -0.000800000000003
INFO:root:accumulate return : 0.00860000000001
INFO:root:accumulate return : 0.2891
INFO:root:accumulate return : 0.6743
INFO:root:accumulate return : 0.5118
INFO:root:accumulate return : 0.3215
INFO:root:accumulate return : 0.6218
INFO:root:accumulate return : 0.683
INFO:root:accumulate return : 0.4903
INFO:root:accumulate return : 0.3975
INFO:root:accumulate return : 0.6379
INFO:root:accumulate return : 0.7876
INFO:root:accumulate return : 0.8774
INFO:root:accumulate return : 0.8903
INFO:root:accumulate return : 0.8497
INFO:root:accumulate return : 1.095
INFO:root:accumulate return : 0.803
INFO:root:accumulate return : 0.7281
INFO:root:accumulate return : 0.9885
INFO:root:accumulate return : 0.9205
INFO:root:accumulate return : 1.0093
INFO:root:accumulate return : 1.0356
INFO:root:accumulate return : 1.1494
INFO:root:accumulate return : 1.0923
INFO:root:accumulate return : 1.3121
INFO:root:accumulate return : 1.2004
INFO:root:accumulate return : 1.1191
INFO:root:accumulate return : 1.2154
INFO:root:accumulate return : 1.2079
INFO:root:accumulate return : 1.1653
INFO:root:accumulate return : 1.1538
INFO:root:accumulate return : 1.1275
INFO:root:accumulate return : 1.5963
INFO:root:accumulate return : 1.3497
INFO:root:accumulate return : 1.4527
INFO:root:accumulate return : 1.4453
INFO:root:accumulate return : 1.4706
INFO:root:accumulate return : 1.567
INFO:root:accumulate return : 1.4788
INFO:root:accumulate return : 1.3552
INFO:root:accumulate return : 1.2828
INFO:root:accumulate return : 1.52
INFO:root:accumulate return : 1.6596
INFO:root:accumulate return : 1.565
INFO:root:accumulate return : 1.5256
INFO:root:accumulate return : 1.8799
INFO:root:accumulate return : 1.7147
INFO:root:accumulate return : 1.7897
INFO:root:accumulate return : 1.7621
INFO:root:accumulate return : 1.9477
INFO:root:accumulate return : 1.5701
INFO:root:accumulate return : 1.5755
INFO:root:accumulate return : 1.8277
INFO:root:accumulate return : 2.1015
INFO:root:accumulate return : 1.8522
INFO:root:accumulate return : 1.9624
INFO:root:accumulate return : 1.8667
INFO:root:accumulate return : 2.0518
INFO:root:accumulate return : 1.8911
INFO:root:accumulate return : 2.0369
INFO:root:accumulate return : 1.9589
