INFO:root:Version : 7
INFO:root:Time start : 2016-06-01-06-50-23
INFO:root:Input data :GBPUSD240.csv
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch = 572
INFO:root:max_memory = 1000000
INFO:root:batch_size = 200
INFO:root:look back term = 300
INFO:root:hidden_size = 600
INFO:root:training period = 0 ~ 10000
INFO:root:learning rate = 0.1
INFO:root:discount rate = 9e-06
INFO:root:step_size = 10
INFO:root:activation function = relu
INFO:root:accumulate return : -2.3109
INFO:root:accumulate return : -2.487
INFO:root:accumulate return : -2.4024
INFO:root:accumulate return : -2.4285
INFO:root:accumulate return : -2.5987
INFO:root:accumulate return : -2.2124
INFO:root:accumulate return : -2.383
INFO:root:accumulate return : -2.246
INFO:root:accumulate return : -2.4763
INFO:root:accumulate return : -2.3593
INFO:root:accumulate return : -0.6186
INFO:root:accumulate return : -0.6846
INFO:root:accumulate return : -0.7215
INFO:root:accumulate return : -0.7594
INFO:root:accumulate return : -0.5696
INFO:root:accumulate return : -0.7216
INFO:root:accumulate return : -0.6801
INFO:root:accumulate return : -0.7886
INFO:root:accumulate return : -0.8048
INFO:root:accumulate return : -0.5659
INFO:root:accumulate return : -0.0063
INFO:root:accumulate return : 0.2032
INFO:root:accumulate return : -0.1274
INFO:root:accumulate return : -0.0949
INFO:root:accumulate return : 0.1165
INFO:root:accumulate return : 0.1248
INFO:root:accumulate return : 0.0197
INFO:root:accumulate return : 0.1513
INFO:root:accumulate return : 0.1439
INFO:root:accumulate return : 0.132
INFO:root:accumulate return : 0.7555
INFO:root:accumulate return : 0.7248
INFO:root:accumulate return : 0.6572
INFO:root:accumulate return : 0.9408
INFO:root:accumulate return : 0.7878
INFO:root:accumulate return : 0.6809
INFO:root:accumulate return : 0.6785
INFO:root:accumulate return : 0.6938
INFO:root:accumulate return : 0.7317
INFO:root:accumulate return : 0.4005
INFO:root:accumulate return : 0.9166
INFO:root:accumulate return : 0.9568
INFO:root:accumulate return : 0.9556
INFO:root:accumulate return : 0.9406
INFO:root:accumulate return : 0.9853
INFO:root:accumulate return : 0.9319
INFO:root:accumulate return : 1.0504
INFO:root:accumulate return : 0.7431
INFO:root:accumulate return : 1.2066
INFO:root:accumulate return : 0.9585
INFO:root:accumulate return : 1.4927
INFO:root:accumulate return : 1.4138
INFO:root:accumulate return : 1.3507
INFO:root:accumulate return : 1.4092
INFO:root:accumulate return : 1.6255
INFO:root:accumulate return : 1.4801
INFO:root:accumulate return : 1.3625
INFO:root:accumulate return : 1.34
INFO:root:accumulate return : 1.0865
INFO:root:accumulate return : 1.5307
INFO:root:accumulate return : 1.6972
INFO:root:accumulate return : 1.494
INFO:root:accumulate return : 1.7416
INFO:root:accumulate return : 1.5458
INFO:root:accumulate return : 1.5835
INFO:root:accumulate return : 1.7946
INFO:root:accumulate return : 1.6815
INFO:root:accumulate return : 1.6247
INFO:root:accumulate return : 1.5681
INFO:root:accumulate return : 1.672
INFO:root:accumulate return : 1.7059
INFO:root:accumulate return : 1.9924
INFO:root:accumulate return : 1.7841
INFO:root:accumulate return : 1.7827
INFO:root:accumulate return : 1.7763
INFO:root:accumulate return : 1.6156
INFO:root:accumulate return : 1.8486
INFO:root:accumulate return : 1.8307
INFO:root:accumulate return : 1.638
INFO:root:accumulate return : 1.9002
INFO:root:accumulate return : 1.7421
INFO:root:accumulate return : 1.888
INFO:root:accumulate return : 1.8039
INFO:root:accumulate return : 1.8125
INFO:root:accumulate return : 1.7647
INFO:root:accumulate return : 1.7081
INFO:root:accumulate return : 1.8787
INFO:root:accumulate return : 1.6972
INFO:root:accumulate return : 1.6582
INFO:root:accumulate return : 1.5619
INFO:root:accumulate return : 2.1169
INFO:root:accumulate return : 2.2054
INFO:root:accumulate return : 2.1077
INFO:root:accumulate return : 2.1196
INFO:root:accumulate return : 2.1406
INFO:root:accumulate return : 1.9927
INFO:root:accumulate return : 2.037
INFO:root:accumulate return : 1.9146
INFO:root:accumulate return : 2.0257
INFO:root:accumulate return : 2.0954
INFO:root:accumulate return : 2.017
INFO:root:accumulate return : 2.1657
INFO:root:accumulate return : 1.9864
INFO:root:accumulate return : 2.1164
INFO:root:accumulate return : 2.2015
INFO:root:accumulate return : 2.3438
INFO:root:accumulate return : 2.1041
INFO:root:accumulate return : 2.1554
INFO:root:accumulate return : 2.2862
INFO:root:accumulate return : 2.1919
INFO:root:accumulate return : 1.9209
INFO:root:accumulate return : 2.1419
INFO:root:accumulate return : 2.0229
INFO:root:accumulate return : 2.0496
INFO:root:accumulate return : 2.0051
INFO:root:accumulate return : 2.0821
INFO:root:accumulate return : 1.9456
INFO:root:accumulate return : 1.9412
INFO:root:accumulate return : 1.9686
INFO:root:accumulate return : 2.3007
INFO:root:accumulate return : 2.1919
INFO:root:accumulate return : 2.3814
INFO:root:accumulate return : 2.3997
INFO:root:accumulate return : 2.2953
INFO:root:accumulate return : 2.3086
INFO:root:accumulate return : 2.4167
INFO:root:accumulate return : 2.3574
INFO:root:accumulate return : 2.363
INFO:root:accumulate return : 2.1834
INFO:root:accumulate return : 2.4223
INFO:root:accumulate return : 2.3226
INFO:root:accumulate return : 2.3925
INFO:root:accumulate return : 2.3108
INFO:root:accumulate return : 2.5404
INFO:root:accumulate return : 2.2944
INFO:root:accumulate return : 2.4846
INFO:root:accumulate return : 2.3697
INFO:root:accumulate return : 2.4175
INFO:root:accumulate return : 2.4136
INFO:root:accumulate return : 2.3355
INFO:root:accumulate return : 2.2531
INFO:root:accumulate return : 2.5522
INFO:root:accumulate return : 2.4151
INFO:root:accumulate return : 2.2575
INFO:root:accumulate return : 2.3441
INFO:root:accumulate return : 2.2788
INFO:root:accumulate return : 2.4324
INFO:root:accumulate return : 2.5619
INFO:root:accumulate return : 2.4113
INFO:root:accumulate return : 2.4775
INFO:root:accumulate return : 2.701
INFO:root:accumulate return : 2.5169
INFO:root:accumulate return : 2.5065
INFO:root:accumulate return : 2.4662
INFO:root:accumulate return : 2.5936
INFO:root:accumulate return : 2.7395
INFO:root:accumulate return : 2.804
INFO:root:accumulate return : 2.5227
