INFO:root:accumulate return : 3.6605
INFO:root:accumulate return : 3.411
INFO:root:accumulate return : 3.3793
INFO:root:accumulate return : 3.532
INFO:root:accumulate return : 3.4734
INFO:root:accumulate return : 3.4124
INFO:root:accumulate return : 3.5152
INFO:root:accumulate return : 3.6893
INFO:root:accumulate return : 3.2375
INFO:root:accumulate return : 3.424
INFO:root:accumulate return : 3.3318
INFO:root:accumulate return : 3.296
INFO:root:accumulate return : 3.2137
INFO:root:accumulate return : 3.6295
INFO:root:accumulate return : 3.3393
INFO:root:accumulate return : 3.4564
INFO:root:accumulate return : 3.4213
INFO:root:accumulate return : 3.518
INFO:root:accumulate return : 3.3486
INFO:root:accumulate return : 3.5507
INFO:root:accumulate return : 3.4808
INFO:root:accumulate return : 3.3999
INFO:root:accumulate return : 3.5319
INFO:root:accumulate return : 3.4276
INFO:root:accumulate return : 3.5128
INFO:root:accumulate return : 3.5378
INFO:root:accumulate return : 3.7931
INFO:root:accumulate return : 3.5153
INFO:root:accumulate return : 3.4286
INFO:root:accumulate return : 3.651
INFO:root:accumulate return : 3.423
INFO:root:accumulate return : 3.3358
INFO:root:accumulate return : 3.2741
INFO:root:accumulate return : 3.4728
INFO:root:accumulate return : 3.2973
INFO:root:accumulate return : 3.5879
INFO:root:accumulate return : 3.438
INFO:root:accumulate return : 3.3035
INFO:root:accumulate return : 3.3676
INFO:root:accumulate return : 3.1714
INFO:root:accumulate return : 3.5959
INFO:root:accumulate return : 3.2038
INFO:root:accumulate return : 3.5677
INFO:root:accumulate return : 3.474
INFO:root:accumulate return : 3.4417
INFO:root:accumulate return : 3.3922
INFO:root:accumulate return : 3.2473
INFO:root:accumulate return : 3.3201
INFO:root:accumulate return : 3.5211
INFO:root:accumulate return : 3.6152
INFO:root:accumulate return : 3.3782
INFO:root:accumulate return : 3.5455
INFO:root:accumulate return : 3.2849
INFO:root:accumulate return : 3.6213
INFO:root:accumulate return : 3.5436
INFO:root:accumulate return : 3.2204
INFO:root:accumulate return : 3.6658
INFO:root:accumulate return : 3.5001
INFO:root:accumulate return : 3.4325
INFO:root:accumulate return : 3.4147
INFO:root:accumulate return : 3.6438
INFO:root:accumulate return : 3.5752
INFO:root:accumulate return : 3.3677
INFO:root:accumulate return : 3.4801
INFO:root:accumulate return : 3.4168
INFO:root:accumulate return : 3.4727
INFO:root:accumulate return : 3.3957
INFO:root:accumulate return : 3.5672
INFO:root:accumulate return : 3.457
INFO:root:accumulate return : 3.4987
INFO:root:accumulate return : 3.446
INFO:root:accumulate return : 3.5978
INFO:root:accumulate return : 3.4281
INFO:root:accumulate return : 3.3925
INFO:root:accumulate return : 3.5128
INFO:root:accumulate return : 3.5527
INFO:root:accumulate return : 3.2007
INFO:root:accumulate return : 3.1604
INFO:root:accumulate return : 3.4451
INFO:root:accumulate return : 3.1574
INFO:root:accumulate return : 3.4022
INFO:root:accumulate return : 3.6029
INFO:root:accumulate return : 3.314
INFO:root:accumulate return : 3.2486
INFO:root:accumulate return : 3.3335
INFO:root:accumulate return : 3.5398
INFO:root:accumulate return : 3.3779
INFO:root:accumulate return : 3.4523
INFO:root:accumulate return : 3.6075
INFO:root:accumulate return : 3.5852
INFO:root:accumulate return : 3.6831
INFO:root:accumulate return : 3.2246
INFO:root:accumulate return : 3.2423
INFO:root:accumulate return : 3.4816
INFO:root:accumulate return : 3.414
INFO:root:accumulate return : 3.5218
INFO:root:accumulate return : 3.3244
INFO:root:accumulate return : 3.452
INFO:root:accumulate return : 3.5509
INFO:root:accumulate return : 3.6555
INFO:root:accumulate return : 3.3641
INFO:root:accumulate return : 3.3476
INFO:root:accumulate return : 3.3441
INFO:root:accumulate return : 3.4067
INFO:root:accumulate return : 3.1707
INFO:root:accumulate return : 3.4599
INFO:root:accumulate return : 3.3546
INFO:root:accumulate return : 3.444
INFO:root:accumulate return : 3.5384
INFO:root:accumulate return : 3.2986
INFO:root:accumulate return : 3.6718
INFO:root:accumulate return : 3.6443
INFO:root:accumulate return : 3.5263
INFO:root:accumulate return : 3.4177
INFO:root:accumulate return : 3.4751
INFO:root:accumulate return : 3.6465
INFO:root:accumulate return : 3.5005
INFO:root:accumulate return : 3.426
INFO:root:accumulate return : 3.557
INFO:root:accumulate return : 3.6075
INFO:root:accumulate return : 3.238
INFO:root:accumulate return : 3.5997
INFO:root:accumulate return : 3.3386
INFO:root:accumulate return : 3.4878
INFO:root:accumulate return : 3.6627
INFO:root:accumulate return : 3.2893
INFO:root:accumulate return : 3.4283
INFO:root:accumulate return : 3.4077
INFO:root:accumulate return : 3.4714
INFO:root:accumulate return : 3.2088
INFO:root:accumulate return : 3.1565
INFO:root:accumulate return : 3.2674
INFO:root:accumulate return : 3.1466
INFO:root:accumulate return : 3.3453
INFO:root:accumulate return : 3.4304
