,accumulate return
0,-0.21921
1,-0.15821
2,-0.13356
3,-0.10885
4,-0.07214
5,-0.05174
6,-0.05905
7,-0.03932
8,-0.01284
9,-0.05503
10,-0.02692
11,-0.06158
12,0.04446
13,0.03193
14,0.00999
15,0.01214
16,0.06067
17,0.02489
18,0.06284
19,0.0746
20,0.00874
21,-0.01249
22,0.0326
23,0.09076
24,-0.00135
25,0.07784
26,0.06167
27,0.05252
28,0.079
29,0.10591
30,0.08412
31,0.08642
32,0.06626
33,0.0715
34,0.03102
35,0.08651
36,0.06404
37,0.02306
38,0.10045
39,0.09974
40,0.07797
41,0.06389
42,0.07809
43,0.05044
44,0.05801
45,0.08969
46,0.08721
47,0.03541
48,0.08249
49,0.09616
50,0.0785
51,0.08493
52,0.11071
53,0.06473
54,0.09157
55,0.09757
56,0.11223
57,0.03676
58,0.07988
59,0.13178
60,0.09309
61,0.08925
62,0.08261
63,0.07721
64,0.08869
65,0.09823
66,0.05945
67,0.10617
68,0.11402
69,0.09935
70,0.07211
71,0.0984
72,0.13231
73,0.0878
74,0.0961
75,0.11039
76,0.08346
77,0.08759
78,0.09853
79,0.04149
80,0.0992
81,0.10491
82,0.08341
83,0.08134
84,0.09299
85,0.09696
86,0.05584
87,0.06846
88,0.09154
89,0.09773
90,0.12068
91,0.14168
92,0.13955
93,0.10317
94,0.14799
95,0.05755
96,0.0899
97,0.10945
98,0.07112
99,0.14206
100,0.10844
101,0.11128
102,0.11312
103,0.10988
104,0.15651
105,0.11766
106,0.12564
107,0.10495
108,0.09489
109,0.13054
110,0.10412
111,0.11107
112,0.12712
113,0.14423
114,0.11836
115,0.1343
116,0.10298
117,0.11015
118,0.14301
119,0.13677
120,0.10378
121,0.08937
122,0.13247
123,0.11457
124,0.11883
125,0.07953
126,0.10691
127,0.15303
128,0.13972
129,0.15709
130,0.1297
131,0.11951
132,0.1386
133,0.11634
134,0.15773
135,0.09536
136,0.11584
137,0.12417
138,0.10112
139,0.12979
140,0.10608
141,0.10499
142,0.11293
143,0.17089
144,0.13172
145,0.1497
146,0.11855
147,0.11012
148,0.13564
149,0.11213
150,0.12052
151,0.06562
152,0.1132
153,0.11736
154,0.14867
155,0.14703
156,0.13233
157,0.12694
158,0.10261
159,0.09048
160,0.13639
161,0.12041
162,0.16044
163,0.11462
164,0.10379
165,0.09473
166,0.14023
167,0.11525
168,0.14393
169,0.09298
170,0.09441
171,0.12175
172,0.12839
173,0.10388
174,0.14903
175,0.12181
176,0.15268
177,0.11141
178,0.10051
179,0.0842
180,0.13798
181,0.1335
182,0.13047
183,0.0916
184,0.13764
185,0.14866
186,0.13946
187,0.12382
188,0.13468
189,0.13374
190,0.09531
191,0.12596
192,0.10486
193,0.11413
194,0.08744
195,0.0806
196,0.14473
197,0.15477
198,0.12518
199,0.14531
200,0.1309
201,0.08342
202,0.1376
203,0.1156
204,0.14718
205,0.09168
206,0.11934
207,0.08061
208,0.1453
209,0.15426
210,0.11156
211,0.13503
212,0.14582
213,0.1213
214,0.14942
215,0.14159
216,0.12303
217,0.13567
218,0.12587
219,0.18251
220,0.12901
221,0.10176
222,0.14212
223,0.12652
224,0.12937
225,0.13583
226,0.15073
227,0.14574
228,0.0952
229,0.18368
230,0.14173
231,0.12421
232,0.13076
233,0.1584
234,0.14323
235,0.08726
236,0.11594
237,0.10879
238,0.15389
239,0.14941
240,0.10527
241,0.13039
242,0.1371
243,0.08577
244,0.12605
245,0.08119
246,0.08548
247,0.11695
248,0.14503
249,0.10534
250,0.17006
251,0.12379
252,0.13355
253,0.12989
254,0.11084
255,0.13136
256,0.14431
257,0.15232
258,0.11817
259,0.09963
260,0.14124
261,0.14929
262,0.15667
263,0.11208
264,0.16479
265,0.12824
266,0.10461
267,0.14133
268,0.15531
269,0.12717
270,0.09074
271,0.09839
272,0.14831
273,0.15313
274,0.16244
275,0.13355
276,0.15984
277,0.18229
278,0.12445
279,0.1262
280,0.16855
281,0.12107
282,0.15568
283,0.14734
284,0.15749
285,0.13568
286,0.17825
287,0.1641
288,0.12681
289,0.14206
290,0.14923
291,0.15692
292,0.0858
293,0.12668
294,0.21755
295,0.17406
296,0.15031
297,0.15612
298,0.13648
299,0.12014
300,0.15981
301,0.17912
302,0.11047
303,0.16314
304,0.10703
305,0.16718
306,0.1477
307,0.12099
308,0.12529
309,0.12674
310,0.17603
311,0.18161
312,0.11716
