,accumulate return
0,-0.01647
1,0.00055
2,0.00262
3,0.01809
4,-0.01469
5,0.01191
6,0.02242
7,0.02259
8,0.00478
9,0.02555
10,-0.00442
11,0.00974
12,-0.000749999999999
13,0.01874
14,0.02309
15,0.01184
16,0.01939
17,0.00773
18,0.02088
19,0.0062
20,0.01553
21,0.01851
22,0.02291
23,0.01348
24,0.02506
25,0.0104
26,0.01677
27,0.01429
28,0.02484
29,0.01899
30,0.01951
31,0.02253
32,0.0114
33,0.02425
34,0.01886
35,0.02051
36,0.01994
37,0.01387
38,0.01991
39,0.02708
40,0.01857
41,0.0268
42,0.01624
43,0.01973
44,0.02027
45,0.01612
46,0.01547
47,0.02043
48,0.024
49,0.01335
50,0.0072
51,0.02408
52,0.02086
53,0.01935
54,0.02438
55,0.02427
56,0.02028
57,0.01488
58,0.02219
59,0.0232
60,0.02185
61,0.01836
62,0.0169
63,0.02096
64,0.00167
65,0.02643
66,0.00858
67,0.02084
68,0.00097
69,0.02594
70,0.01739
71,0.0308
72,0.02453
73,0.01802
74,0.0221
75,0.02147
76,0.018
77,0.0176
78,0.02101
79,0.02144
80,0.01775
81,0.01917
82,0.02616
83,0.01944
84,0.0237
85,0.0212
86,0.0278
87,0.01796
88,0.02646
89,0.02293
90,0.01596
91,0.02295
92,0.03134
93,0.03312
94,0.00149
95,0.02248
96,0.02408
97,0.02994
98,-0.00401
99,0.0257
100,0.01974
101,0.02225
102,0.02666
103,0.02417
104,0.02596
105,0.01897
106,0.02397
107,0.01804
108,-0.00461
109,0.01371
110,0.02851
111,0.01998
112,0.0178
113,0.02441
114,0.0249
115,0.02571
116,0.01639
117,0.02652
118,0.0206
119,0.02015
120,0.02029
121,0.0219
122,0.01778
123,0.0199
124,0.02552
125,0.02153
126,0.02432
127,0.0213
128,0.01874
129,0.0251
130,0.02827
131,0.02278
132,0.02479
133,0.01314
134,0.01021
135,0.02345
136,0.02546
137,0.0275
138,0.02577
139,0.027
140,0.02268
141,0.02039
142,0.01845
143,0.02454
144,0.02722
145,0.00465
146,0.02228
147,0.02412
148,0.02707
149,0.00207
150,0.01275
151,0.02355
152,0.02077
153,0.02227
154,0.01427
155,0.02145
156,0.02444
157,0.02768
158,0.02911
159,0.02582
160,0.02409
161,0.01538
162,0.02423
163,0.02378
164,0.02144
165,0.02308
166,0.01905
167,0.02479
168,0.02371
169,0.02526
170,0.02032
171,0.02036
172,0.02423
173,0.0226
174,0.02017
175,0.02514
176,0.02691
177,0.02108
178,0.02534
179,0.02497
180,0.01792
181,0.02599
182,0.02533
183,0.01354
184,0.01738
185,0.02522
186,0.02711
187,0.02111
188,0.02759
189,0.0304
190,0.02303
191,0.01563
192,0.022
193,0.02511
194,0.02112
195,0.0173
196,0.02372
197,0.01915
198,0.02035
199,0.00713
200,0.02053
201,0.00492
202,0.0136
203,0.00591
204,0.02497
205,0.02131
206,0.0256
207,0.03078
208,0.02932
209,0.02751
210,0.02354
211,0.01347
212,0.02813
213,0.02822
214,0.02615
215,0.02734
216,0.02366
217,0.02485
218,0.02308
219,0.02667
220,0.02353
221,0.02005
222,0.02025
223,0.01215
224,0.02285
225,0.02085
226,0.00763
227,0.01624
228,0.0106
229,0.02672
230,0.02037
231,0.02089
232,0.01752
233,0.02033
234,0.01121
235,0.02652
236,0.01828
237,0.02513
238,0.02181
239,0.03074
240,0.01433
241,0.02826
242,0.000400000000001
243,0.01866
244,0.01866
245,0.02379
246,0.02387
247,0.02622
248,0.01776
249,0.02377
250,0.0133
251,0.02274
252,0.0257
253,0.02524
254,0.01828
255,0.02433
256,0.01841
257,0.01963
258,0.02147
259,0.02097
260,0.0238
261,0.02305
262,0.01437
263,0.02672
264,0.01907
265,0.02754
266,-0.00429
267,0.01919
268,0.03004
269,0.02276
270,0.0174
271,0.02818
272,0.01731
273,0.02277
274,0.02385
275,0.01943
276,0.02064
277,0.031
278,0.02199
279,0.02115
280,0.02055
281,0.02246
282,0.01645
283,0.01677
284,0.02624
285,0.02658
286,0.0228
287,-0.00981
288,0.02761
289,0.02825
290,0.02279
291,0.02265
292,0.01587
293,-0.00156
294,0.01295
295,-0.01131
296,0.01716
297,0.01733
298,0.02043
299,0.0217
300,0.00335
301,0.02371
302,0.0143
303,0.02432
304,0.02176
305,0.02588
306,0.02259
307,0.02312
308,0.02471
309,0.026
310,0.01847
311,0.02935
312,0.00922
313,0.01131
314,0.02736
315,0.02793
316,0.02079
317,0.02326
318,0.00299
319,0.02046
320,-0.01103
321,0.02106
322,0.027
323,0.01537
324,0.02425
325,0.02302
326,0.02792
327,0.0279
328,0.02024
329,0.02111
330,0.02533
331,0.01113
332,0.02717
333,0.01878
334,0.01974
335,0.02432
336,0.02373
337,0.02391
338,0.03119
339,0.02122
340,0.01689
341,0.02435
342,0.01581
343,0.02496
344,0.01976
345,0.02048
346,0.01471
347,0.02847
348,0.01009
349,0.02648
350,0.01553
351,0.02206
352,0.0029
353,0.02971
354,0.01432
355,0.01598
356,0.0155
357,0.03042
358,0.01957
359,0.02519
360,0.01435
361,0.03038
362,0.01918
363,0.02661
364,0.02453
