,accumulate return
0,-0.01101
1,-0.03223
2,-0.04267
3,-0.00684
4,-0.01357
5,-0.01471
6,-0.00308
7,-0.00751
8,-0.00506
9,-0.009
10,-0.00906
11,-0.00716
12,-0.00566
13,-0.00681
14,-0.00446
15,-0.00114
16,-0.00641
17,-0.01373
18,-0.00287
19,-0.00521
20,-0.00649
21,-0.008
22,-0.02336
23,-0.00496
24,0.00687
25,-0.00415
26,-0.00679
27,-0.00718
28,-0.01222
29,-0.00687
30,-0.00434
31,-0.00239
32,-0.00846
33,-0.0037
34,-0.01886
35,-0.00454
36,-0.02212
37,0.01028
38,-0.01011
39,-0.00097
40,-0.01756
41,-0.00513
42,-0.00707
43,-0.00605
44,-0.00194
45,-0.00259
46,-0.0035
47,-0.01102
48,-0.00562
49,-0.00998
50,-0.00761
51,-0.00165
52,-0.00108
53,-0.00459
54,-0.01239
55,-0.00389
56,-0.00207
57,-0.0051
58,0.0
59,0.0003
60,-0.00744
61,-0.00567
62,-0.0033
63,-0.00553
64,-0.00177
65,-0.01408
66,-0.01404
67,-0.00806
68,-0.00218
69,-0.01038
70,-0.01326
71,-0.00145
72,-0.00818
73,-0.00355
74,-0.00041
75,-0.01366
76,-0.01136
77,0.0077
78,-0.00606
79,-0.01769
80,-0.00644
81,-0.01854
82,-0.01219
83,-0.00488
84,-0.00838
85,-0.00377
86,-0.00294
87,-0.01329
88,-0.00946
89,-0.00353
90,0.0
91,-0.00236
92,0.0
93,-0.00238
94,-0.00183
95,-0.00144
96,0.0
97,-0.00031
98,-0.0113
99,-0.0095
100,0.0
101,-0.00192
102,-0.00062
103,-0.00522
104,-0.00194
105,-0.01486
106,-0.00439
107,-0.00188
108,-0.00829
109,-0.00633
110,-0.00478
111,-0.00888
112,-0.00848
113,-0.00626
114,-0.00099
115,-0.00393
116,0.00014
117,-0.01002
118,-0.00139
119,-0.00544
120,-0.00558
121,-0.00876
122,-0.00052
123,-0.00618
124,-0.00347
125,-0.00258
126,-0.01179
127,-0.00747
128,-0.0081
129,-0.0027
130,-0.00654
131,-0.00064
132,0.0
133,-0.01026
134,-0.00649
135,-0.00225
136,0.0
137,-0.00409
138,-0.01395
139,0.0
140,-0.00041
141,-0.01544
142,-0.01825
143,-0.00255
144,-0.01257
145,-0.00471
146,-0.00974
147,-0.00735
148,0.0
149,-0.00468
150,-0.00104
151,-0.00275
152,-0.00167
153,-0.01108
154,-0.00288
155,-0.01477
156,-0.00568
157,0.0065
158,-0.01904
159,-0.01242
160,-0.00489
