,accumulate return
401,-0.01326
402,0.01557
403,0.02148
404,0.000529999999997
405,-0.0018
406,-0.03563
407,0.02421
408,-0.02261
409,0.0098
410,-0.00467
411,0.00132
412,-0.00128
413,-0.0479
414,-0.00853000000001
415,0.00316
416,-0.01168
417,-0.02074
418,-0.00431
419,-0.01193
420,-0.02208
421,-0.03086
422,0.02763
423,-0.01001
424,-0.02003
425,0.01921
426,-0.0149
427,0.00759
428,0.000309999999998
429,0.00836
430,-0.00335
431,0.0211
432,-0.02401
433,0.02141
434,-0.01089
435,0.00325
436,-0.04692
437,0.03177
438,0.01571
439,-4.00000000008e-05
440,-0.00237
441,0.05357
442,-0.00607
443,0.00502
444,-0.01119
445,-0.03107
446,-0.01101
447,0.01473
448,-0.00879
449,0.02023
450,-0.00945
451,0.01712
452,-0.02565
453,0.02848
454,-0.02395
455,-0.00543
456,0.00948
457,0.0123
458,0.00255
459,0.01364
460,0.03455
461,-0.00096
462,0.00688
463,-0.03644
464,0.01498
465,0.04499
466,0.000869999999996
467,0.01423
468,0.01566
469,-0.1032
470,0.01177
471,0.01586
472,0.01725
473,0.02127
474,-0.00238
475,0.04898
476,-0.00270000000001
477,0.00447
478,0.01492
479,0.00476
480,0.02168
481,-0.02102
482,-0.00384
483,0.03747
484,0.00137
485,0.05009
486,-0.00789
487,0.01394
488,-0.00352
489,0.03661
490,-0.00191000000001
491,0.0604
492,0.01403
493,-0.03479
494,0.02333
495,0.04942
496,-0.01124
497,-0.01314
498,0.0181
499,-0.00787
500,-0.01904
501,0.0166
502,0.04444
503,-0.00314000000001
504,0.01079
505,0.01013
506,-0.00364
507,-0.00293
508,-0.00645
509,-0.0161
510,0.00798
511,0.04718
512,0.03399
513,0.0615
514,0.02332
515,0.03883
516,-0.0138
517,0.00705
518,0.00908
519,-0.01028
520,0.02695
521,0.0356
522,0.00899
523,0.02503
524,0.02056
525,0.00608
526,0.00467
527,0.04403
528,0.01492
529,-0.01048
530,0.03125
531,0.03083
532,0.00205
533,0.05094
534,0.01817
535,-0.01595
536,0.02093
537,0.00585
538,0.02114
539,0.02469
540,0.02649
541,-0.01485
542,-0.00597000000001
543,-0.03765
544,0.03228
545,-0.01162
546,0.04491
547,0.04053
548,0.00917
549,0.07231
550,0.04685
551,0.0032
552,0.05351
553,0.02358
554,-0.000560000000003
555,0.00774
556,0.05109
557,0.00087
558,3.99999999981e-05
559,0.0405
560,0.05543
561,-0.01721
562,0.0245
563,0.05588
564,0.01106
565,0.04253
566,-0.000500000000004
567,0.03964
568,0.02191
569,0.0199
570,0.04237
571,-0.00957
572,-0.00341
573,0.01294
574,-0.01731
575,0.03606
576,0.04013
577,0.00690999999999
578,0.03975
579,0.01624
580,0.05864
581,-0.0034
582,0.04283
583,0.0215
584,0.01315
585,0.06487
586,0.04653
587,0.02214
588,0.05124
589,-0.0224
590,0.03205
591,-0.00635
592,-0.00834000000001
593,0.03657
594,0.04523
595,0.06064
596,-0.03286
597,0.04405
598,0.02974
599,-0.02648
600,0.01718
601,0.01966
602,0.01065
603,-0.00413
604,0.000849999999999
605,0.04238
606,-0.00276000000001
607,0.0218
608,0.02196
609,0.03287
610,-0.00613
611,0.03644
612,0.0025
613,0.03255
614,0.01664
615,0.02233
616,0.01178
617,0.05884
618,0.05352
619,0.02533
620,0.00407
621,0.01273
622,0.02671
623,0.03874
624,0.01831
625,0.01926
626,0.00686
627,0.04118
628,0.03471
629,-0.03989
630,-0.01542
631,0.00215
632,0.03555
633,0.00551
634,0.04274
635,0.01208
636,-0.0159
637,-0.00334
638,0.02274
639,0.0244
640,0.01473
641,0.0146
642,-0.000349999999998
643,0.01549
644,0.06497
645,0.03796
646,-0.02446
647,0.06318
648,0.01233
649,0.01584
650,-0.00659000000001
651,-0.00198000000001
652,0.000249999999997
653,0.05146
654,-0.01121
655,0.00792
656,0.01655
657,0.03034
658,0.04065
659,0.04313
660,0.00481
661,-0.00522
662,0.000359999999997
663,-0.03635
664,0.03493
665,0.02308
666,0.000749999999995
667,0.04514
668,0.04175
669,0.02498
670,0.04622
671,0.01842
672,0.02332
673,0.01193
674,0.04143
675,0.05452
676,0.02972
677,0.00703
678,0.00107
679,0.0388
680,0.07766
681,-0.01004
682,0.04849
683,0.0435
684,0.02683
685,0.02642
686,0.01544
687,-0.000289999999999
688,0.03155
689,0.02163
690,0.00522
691,0.02972
692,0.02053
693,0.06333
694,0.00438
695,0.04567
696,0.03278
697,0.02854
698,0.0169
699,0.0241
700,0.01595
701,0.04955
702,0.01965
703,0.01376
704,0.03428
705,-0.02481
706,0.04681
707,0.05457
708,0.02873
709,0.03768
710,0.01784
711,0.02422
712,0.04122
713,0.02541
714,0.03677
715,0.01304
716,0.01586
717,-0.00258000000001
718,0.01263
719,0.02739
720,-0.000860000000005
721,0.01113
722,0.01981
723,0.01156
724,0.04272
725,0.01565
726,0.02157
727,0.00743
728,0.01207
729,-0.00937000000001
730,0.04216
731,-0.00686
732,0.03193
733,0.08999
734,0.000679999999996
735,-0.01365
736,0.01117
737,0.02887
738,0.02764
739,0.02734
740,0.01926
741,0.05066
742,0.02288
743,0.01002
744,0.02105
745,0.00348999999999
746,0.02111
747,0.06235
748,0.03886
749,0.0428
750,0.0391
751,0.06009
752,0.01783
753,0.05286
754,0.02481
755,0.03286
756,0.02669
757,0.02709
758,0.01865
759,0.03368
760,0.04249
761,0.05997
762,0.01138
763,0.000679999999999
764,0.01203
765,0.03875
766,0.0246
767,0.02068
768,0.02104
769,0.04937
770,0.03716
771,0.04476
772,0.01698
773,-0.01218
774,-0.00833
775,-0.01797
776,0.00126
777,-0.01704
778,0.04613
779,0.02662
780,0.00405999999999
781,0.04991
782,0.04824
783,0.0626
784,0.03074
785,0.05147
786,-0.00755
787,0.02195
788,0.03934
789,0.0063
790,-0.01346
791,0.05145
792,0.03225
793,0.03093
794,0.04415
795,0.0208
796,0.04089
797,0.0233
798,0.01141
799,0.0329
800,-0.01472
801,-0.000890000000008
802,0.01052
803,0.02135
804,0.03281
805,-0.01285
806,0.00685
807,0.03162
808,0.00459
809,0.02872
810,0.05928
811,0.04
812,0.05839
813,0.02678
814,0.03391
815,-0.02309
816,0.01965
817,0.02979
818,0.03943
819,0.01639
820,0.01257
821,0.04588
822,0.01662
823,-0.000890000000004
824,0.0317
825,-0.003
826,-0.03517
827,0.04157
828,0.08091
829,0.02609
830,0.03469
831,0.04537
832,0.00354
833,0.04857
834,0.000559999999998
835,0.03333
836,-0.0272
837,0.00861
838,0.02857
839,0.02287
840,0.05542
841,0.03873
842,0.01575
843,0.03112
844,0.00477
845,0.04388
846,-0.01021
847,0.00962
848,0.01383
849,0.05123
850,0.05245
851,0.00341999999999
852,0.00617
853,0.03702
854,0.0451
855,0.02505
856,0.03729
857,0.02226
858,0.04446
859,0.05681
860,0.03278
861,0.02074
862,0.0847
863,0.01087
864,0.0276
865,0.0089
866,0.03275
867,0.0216
868,0.03936
869,-0.01234
870,0.01992
871,0.02255
872,0.06819
873,0.03285
874,0.02439
875,0.02195
876,0.03683
877,0.01827
878,0.01515
879,0.02605
880,0.02883
881,0.00564
882,0.0417
883,0.0466
884,0.08005
885,0.00491
886,0.04635
887,0.02402
888,0.05822
889,0.04633
890,0.00751
891,0.02785
892,-0.01335
893,0.02705
894,0.00641
895,0.02087
896,0.02334
897,0.00715
898,0.01746
899,0.0157
900,0.00878
901,0.04241
902,0.02337
903,0.02456
904,0.03787
905,0.03785
906,0.02682
907,0.06024
908,0.02438
909,0.01265
910,0.02885
911,0.02838
912,0.02281
913,0.05056
914,0.02175
915,0.04939
916,0.03163
917,0.01816
918,0.06612
919,0.0525
920,0.03708
921,0.0464
922,0.00845
923,0.03774
924,0.04281
925,0.03423
926,0.01442
927,0.02703
928,0.01848
929,0.0065
930,0.0315
931,0.02222
932,0.04213
933,0.02465
934,-0.0313
935,0.03618
936,0.08079
937,-0.00491
938,-0.02468
939,0.000500000000001
940,0.04795
941,0.04672
942,0.02776
943,-0.00255
944,0.000459999999996
945,0.03802
946,-0.01767
947,-0.02814
948,0.00697
949,0.05399
950,0.04762
951,0.02703
952,0.04095
953,0.00186
954,0.03797
955,0.03053
956,0.02674
957,0.02306
958,0.02789
959,0.06308
960,0.02833
961,0.04053
962,0.00494
963,0.01113
964,0.04673
965,0.03024
966,0.00267
967,0.01545
968,0.07376
969,0.00110999999999
970,-0.00626
971,0.02078
972,0.04162
973,0.0509
974,0.01753
975,0.05813
976,-0.00629
977,0.0531
978,0.03799
979,0.04794
980,0.01855
981,0.01842
982,0.03359
983,0.01107
984,0.06021
985,0.03772
986,0.09748
987,0.03791
988,0.04283
989,0.03186
990,0.03701
991,-0.01097
992,0.00445
993,0.05421
994,0.02359
995,0.04735
996,0.05719
997,0.07486
998,0.03504
999,-0.00464
1000,0.02685
1001,0.03005
1002,0.04178
1003,0.0422
1004,0.05415
1005,0.02185
1006,0.01657
1007,0.00918
1008,0.02752
1009,0.02218
1010,0.05244
1011,0.03707
1012,0.00692
1013,0.05602
1014,0.03237
1015,0.02883
1016,0.05464
1017,0.01455
1018,0.02071
1019,0.04145
1020,0.07128
1021,0.03553
1022,0.05798
1023,0.05688
1024,0.0323
1025,-0.03063
1026,0.00466
1027,0.02299
1028,-0.01241
1029,0.03387
1030,0.03236
1031,0.02572
1032,0.02078
1033,0.03855
1034,0.08823
1035,0.03494
1036,0.03078
1037,0.00349
1038,-0.00329
1039,0.03282
1040,0.04072
1041,0.03741
1042,-0.000550000000002
1043,0.04775
1044,0.05134
1045,0.02547
1046,1.99999999985e-05
1047,0.01788
1048,-5.00000000039e-05
1049,0.01309
1050,0.03805
1051,0.01153
1052,0.008
1053,0.04269
1054,-0.01253
1055,0.0354
1056,0.0504
1057,-0.00925
1058,0.04049
1059,0.02031
1060,-0.00611
1061,0.04001
1062,0.04021
1063,0.03539
1064,0.03551
1065,-0.00242
1066,0.00703
1067,0.01604
1068,0.01726
1069,0.06073
1070,0.06182
1071,0.04563
1072,0.03578
1073,0.05837
1074,0.02224
1075,0.01388
1076,0.02486
1077,0.02511
1078,0.04008
1079,0.00599
1080,0.04268
1081,0.08128
1082,0.05405
1083,0.02615
1084,0.014
1085,0.06326
1086,0.0719
1087,0.03628
1088,0.01132
1089,-0.01353
1090,0.05452
1091,-0.01928
1092,0.01792
1093,0.06138
1094,0.0409
1095,0.05795
1096,0.02687
1097,0.03306
1098,0.0047
1099,0.04884
1100,0.03257
1101,0.00788
1102,0.01591
1103,0.02999
1104,0.03202
1105,0.03525
