,accumulate return
0,-0.03038
1,-0.01841
2,-0.02807
3,-0.02874
4,-0.03022
5,-0.00305
6,-0.01134
7,-0.01239
8,-0.01738
9,-0.01803
10,-0.02693
11,-0.01791
12,-0.02216
13,-0.03086
14,-0.02166
15,-0.02375
16,-0.00677
17,-0.00988
18,-0.01465
19,-0.00187
20,-0.000769999999999
21,-0.01283
22,-0.01296
23,-0.00315
24,-0.01828
25,-0.02586
26,-0.00854
27,-0.00677
28,-0.00994
29,-0.02737
30,-0.03124
31,-0.02221
32,0.01099
33,-0.02943
34,-0.01216
35,-0.02184
36,-0.00488
37,-0.00798
38,-0.01847
39,0.00682
40,-0.01293
41,-0.0165
42,-0.00385
43,-0.00945
44,-0.01361
45,-0.00151
46,-0.01398
47,-0.00294
48,-0.01564
49,-0.02284
50,-0.00826
51,-0.02659
52,-0.01764
53,-0.0086
54,-0.01054
55,-0.01846
56,-0.00283
57,-0.00828
58,-0.02743
59,0.00667
60,-0.02496
61,-0.00845
62,-0.01676
63,-0.0106
64,-0.02072
65,-0.00711
66,-0.00789
67,-0.02056
68,-0.00403
69,-0.02454
70,-0.03559
71,-0.0156
72,-0.01908
73,0.00294
74,-0.01707
75,-0.00951
76,-0.01238
77,-0.00608
78,-0.00441
79,-0.01634
80,-0.01517
81,-0.01274
82,-0.00471
83,-0.03343
84,-0.01846
85,-0.01226
86,-0.03334
87,-0.03296
88,-0.00389
89,-0.00318
90,-0.00128
91,-0.0076
92,-0.0265
93,-0.01737
94,-0.00738
95,-0.0048
96,-0.02494
97,0.00423
98,-0.02731
99,-0.0043
100,-0.02514
101,-0.01143
102,-0.00268
103,-0.00198
104,0.00326
105,-0.0193
106,-0.00287
107,-0.02663
108,-0.00818
109,0.00018
110,-0.01349
111,-0.00078
112,-0.01275
113,-0.01572
114,-0.023
115,-0.01971
116,0.00421
117,-0.00841
118,-0.01166
119,-0.00057
120,0.00912
121,-0.00882
122,-0.00315
123,-0.00498
124,-0.02436
125,-0.03166
126,0.00343
127,-0.01355
128,-0.00822
129,-0.00602
130,-0.01661
131,-0.00167
132,-0.0114
133,-0.01154
134,-0.02032
135,-0.0068
136,-0.00503
137,-0.00567
138,0.00432
139,-0.00736
140,-0.02095
141,-0.03124
142,0.00262
143,-0.00565
144,-0.02435
145,-0.00987
146,-0.02439
147,-0.01268
148,-0.02665
149,-0.00231
150,-0.00149
151,-0.00934
152,-0.02226
153,-0.01297
154,-0.00482
155,-0.03124
156,-0.01381
157,-0.00634
158,0.000389999999999
159,-0.01392
