Date,Time,limitUp,limitDown
2016-01-15,14:30,21,50
2016-01-15,14:31,21,52
2016-01-15,14:32,23,46
2016-01-15,14:33,24,43
2016-01-15,14:34,24,38
2016-01-15,14:35,25,41
2016-01-15,14:36,23,38
2016-01-15,14:37,23,41
2016-01-15,14:38,24,47
2016-01-15,14:39,24,50
2016-01-15,14:40,22,49
2016-01-15,14:41,23,57
2016-01-15,14:42,23,64
2016-01-15,14:43,23,66
2016-01-15,14:44,23,74
2016-01-15,14:45,21,78
2016-01-15,14:46,21,87
2016-01-15,14:47,21,91
2016-01-15,14:48,22,102
2016-01-15,14:49,21,104
2016-01-15,14:50,22,118
2016-01-15,14:51,21,125
2016-01-15,14:52,21,133
2016-01-15,14:53,22,128
2016-01-15,14:54,22,107
2016-01-15,14:55,23,97
2016-01-15,14:56,23,93
2016-01-15,14:57,23,89
2016-01-15,14:58,23,86
2016-01-15,14:59,23,86
2016-01-15,15:00,23,85
