Date,Time,limitUp,limitDown
2016-01-21,9:25,10,12
2016-01-21,9:30,9,10
2016-01-21,9:31,8,9
2016-01-21,9:32,8,9
2016-01-21,9:33,9,9
2016-01-21,9:34,7,10
2016-01-21,9:35,8,11
2016-01-21,9:36,9,8
2016-01-21,9:37,8,10
2016-01-21,9:38,9,8
2016-01-21,9:39,8,8
2016-01-21,9:40,9,8
2016-01-21,9:41,9,8
2016-01-21,9:42,9,8
2016-01-21,9:43,10,8
2016-01-21,9:44,10,8
2016-01-21,9:45,10,8
2016-01-21,9:46,10,8
2016-01-21,9:47,10,8
2016-01-21,9:48,10,8
2016-01-21,9:49,11,9
2016-01-21,9:50,11,9
2016-01-21,9:51,12,8
2016-01-21,9:52,13,8
2016-01-21,9:53,12,8
2016-01-21,9:54,14,8
2016-01-21,9:55,14,8
2016-01-21,9:56,14,8
2016-01-21,9:57,14,8
2016-01-21,9:58,15,8
2016-01-21,9:59,14,8
2016-01-21,10:00,16,8
2016-01-21,10:01,17,8
2016-01-21,10:02,16,8
2016-01-21,10:03,16,8
2016-01-21,10:04,17,8
2016-01-21,10:05,16,8
2016-01-21,10:06,15,8
2016-01-21,10:07,14,8
2016-01-21,10:08,14,8
2016-01-21,10:09,13,8
2016-01-21,10:10,13,8
2016-01-21,10:11,14,8
2016-01-21,10:12,14,8
2016-01-21,10:13,14,8
2016-01-21,10:14,14,8
2016-01-21,10:15,13,9
2016-01-21,10:16,13,8
2016-01-21,10:17,13,8
2016-01-21,10:18,13,8
2016-01-21,10:19,13,8
2016-01-21,10:20,14,8
2016-01-21,10:21,13,8
2016-01-21,10:22,14,8
2016-01-21,10:23,14,8
2016-01-21,10:24,13,8
2016-01-21,10:25,13,8
2016-01-21,10:26,14,8
2016-01-21,10:27,15,8
2016-01-21,10:28,15,8
2016-01-21,10:29,14,8
2016-01-21,10:30,14,8
2016-01-21,10:31,14,8
2016-01-21,10:32,14,8
2016-01-21,10:33,14,8
2016-01-21,10:34,14,8
2016-01-21,10:35,14,8
2016-01-21,10:36,15,8
2016-01-21,10:37,15,8
2016-01-21,10:38,16,8
2016-01-21,10:39,16,8
2016-01-21,10:40,14,8
2016-01-21,10:41,16,8
2016-01-21,10:42,16,8
2016-01-21,10:43,17,8
2016-01-21,10:44,15,8
2016-01-21,10:45,17,8
2016-01-21,10:46,17,8
2016-01-21,10:47,17,8
2016-01-21,10:48,17,8
2016-01-21,10:49,15,8
2016-01-21,10:50,17,8
2016-01-21,10:51,17,8
2016-01-21,10:52,17,8
2016-01-21,10:53,17,8
2016-01-21,10:54,17,8
2016-01-21,10:55,17,8
2016-01-21,10:56,17,8
2016-01-21,10:57,18,8
2016-01-21,10:58,18,8
2016-01-21,10:59,20,8
2016-01-21,11:00,18,8
2016-01-21,11:01,19,8
2016-01-21,11:02,20,8
2016-01-21,11:03,21,8
2016-01-21,11:04,21,8
2016-01-21,11:05,21,8
2016-01-21,11:06,21,8
2016-01-21,11:07,21,8
2016-01-21,11:08,21,8
2016-01-21,11:09,21,8
2016-01-21,11:10,21,8
2016-01-21,11:11,21,8
2016-01-21,11:12,21,8
2016-01-21,11:13,22,8
2016-01-21,11:14,22,8
2016-01-21,11:15,21,8
2016-01-21,11:16,24,8
2016-01-21,11:17,23,8
2016-01-21,11:18,22,8
2016-01-21,11:19,23,8
2016-01-21,11:20,24,8
2016-01-21,11:21,24,8
2016-01-21,11:22,24,8
2016-01-21,11:23,24,8
2016-01-21,11:24,23,8
2016-01-21,11:25,23,8
2016-01-21,11:26,25,8
2016-01-21,11:27,25,8
2016-01-21,11:28,23,8
2016-01-21,11:29,23,8
2016-01-21,11:30,23,8
2016-01-21,13:00,25,8
2016-01-21,13:01,25,8
2016-01-21,13:02,24,8
2016-01-21,13:03,23,8
2016-01-21,13:04,23,8
2016-01-21,13:05,22,8
2016-01-21,13:06,20,8
2016-01-21,13:07,20,8
2016-01-21,13:08,19,8
2016-01-21,13:09,20,8
2016-01-21,13:10,20,8
2016-01-21,13:11,18,8
2016-01-21,13:12,20,8
2016-01-21,13:13,20,9
2016-01-21,13:14,18,9
2016-01-21,13:15,18,9
2016-01-21,13:16,18,8
2016-01-21,13:17,19,9
2016-01-21,13:18,19,8
2016-01-21,13:19,18,9
2016-01-21,13:20,17,9
2016-01-21,13:21,17,9
2016-01-21,13:22,17,9
2016-01-21,13:23,17,8
2016-01-21,13:24,17,8
2016-01-21,13:25,17,9
2016-01-21,13:26,17,8
2016-01-21,13:27,17,9
2016-01-21,13:28,17,8
2016-01-21,13:29,18,8
2016-01-21,13:30,17,8
2016-01-21,13:31,17,10
2016-01-21,13:32,17,10
2016-01-21,13:33,16,10
2016-01-21,13:34,13,11
2016-01-21,13:35,13,10
2016-01-21,13:36,15,10
2016-01-21,13:37,13,10
2016-01-21,13:38,13,10
2016-01-21,13:39,14,11
2016-01-21,13:40,13,13
2016-01-21,13:41,12,11
2016-01-21,13:42,13,11
2016-01-21,13:43,14,10
2016-01-21,13:44,14,10
2016-01-21,13:45,13,10
2016-01-21,13:46,14,11
2016-01-21,13:47,13,10
2016-01-21,13:48,14,10
2016-01-21,13:49,15,10
2016-01-21,13:50,15,10
2016-01-21,13:51,15,10
2016-01-21,13:52,15,13
2016-01-21,13:53,14,13
2016-01-21,13:54,14,12
2016-01-21,13:55,14,13
2016-01-21,13:56,14,12
2016-01-21,13:57,13,13
2016-01-21,13:58,14,15
2016-01-21,13:59,13,17
2016-01-21,14:00,13,18
2016-01-21,14:01,14,17
2016-01-21,14:02,15,16
2016-01-21,14:03,15,15
2016-01-21,14:04,15,14
2016-01-21,14:05,15,14
2016-01-21,14:06,15,14
2016-01-21,14:07,15,15
2016-01-21,14:08,14,16
2016-01-21,14:09,15,15
2016-01-21,14:10,14,14
2016-01-21,14:11,16,14
2016-01-21,14:12,16,14
2016-01-21,14:13,16,14
2016-01-21,14:14,17,14
2016-01-21,14:15,16,15
2016-01-21,14:16,13,14
2016-01-21,14:17,13,16
2016-01-21,14:18,14,15
2016-01-21,14:19,14,17
2016-01-21,14:20,13,20
2016-01-21,14:21,13,21
2016-01-21,14:22,13,23
2016-01-21,14:23,13,21
2016-01-21,14:24,13,20
2016-01-21,14:25,13,21
2016-01-21,14:26,13,21
2016-01-21,14:27,14,23
2016-01-21,14:28,14,24
2016-01-21,14:29,14,24
2016-01-21,14:30,14,25
2016-01-21,14:31,13,26
2016-01-21,14:32,13,27
2016-01-21,14:33,15,26
2016-01-21,14:34,15,25
2016-01-21,14:35,15,26
2016-01-21,14:36,15,24
2016-01-21,14:37,15,23
2016-01-21,14:38,16,22
2016-01-21,14:39,15,23
2016-01-21,14:40,16,26
2016-01-21,14:41,15,26
2016-01-21,14:42,15,30
2016-01-21,14:43,14,35
2016-01-21,14:44,14,42
2016-01-21,14:45,13,51
2016-01-21,14:46,13,50
2016-01-21,14:47,13,48
2016-01-21,14:48,16,40
2016-01-21,14:49,15,40
2016-01-21,14:50,14,39
2016-01-21,14:51,14,45
2016-01-21,14:52,15,58
2016-01-21,14:53,15,71
2016-01-21,14:54,14,77
2016-01-21,14:55,15,89
2016-01-21,14:56,14,101
2016-01-21,14:57,15,105
2016-01-21,14:58,16,108
2016-01-21,14:59,16,109
2016-01-21,15:00,14,119
