Date,Time,limitUp,limitDown
2016-01-18,9:25,8,17
2016-01-18,9:30,8,18
2016-01-18,9:31,8,18
2016-01-18,9:32,11,17
2016-01-18,9:33,12,17
2016-01-18,9:34,11,19
2016-01-18,9:35,12,17
2016-01-18,9:36,13,18
2016-01-18,9:37,13,16
2016-01-18,9:38,14,16
2016-01-18,9:39,14,14
2016-01-18,9:40,14,14
2016-01-18,9:41,14,14
2016-01-18,9:42,16,15
2016-01-18,9:43,16,13
2016-01-18,9:44,19,13
2016-01-18,9:45,21,13
2016-01-18,9:46,21,12
2016-01-18,9:47,22,13
2016-01-18,9:48,21,14
2016-01-18,9:49,23,15
2016-01-18,9:50,24,13
2016-01-18,9:51,25,14
2016-01-18,9:52,23,12
2016-01-18,9:53,24,13
2016-01-18,9:54,23,12
2016-01-18,9:55,23,12
2016-01-18,9:56,24,13
2016-01-18,9:57,24,14
2016-01-18,9:58,25,16
2016-01-18,9:59,25,16
2016-01-18,10:00,24,15
2016-01-18,10:01,26,15
2016-01-18,10:02,26,14
2016-01-18,10:03,27,14
2016-01-18,10:04,28,14
2016-01-18,10:05,28,13
2016-01-18,10:06,29,13
2016-01-18,10:07,30,12
2016-01-18,10:08,29,12
2016-01-18,10:09,28,13
2016-01-18,10:10,30,14
2016-01-18,10:11,31,15
2016-01-18,10:12,31,13
2016-01-18,10:13,31,14
2016-01-18,10:14,33,13
2016-01-18,10:15,32,13
2016-01-18,10:16,31,13
2016-01-18,10:17,31,13
2016-01-18,10:18,31,13
2016-01-18,10:19,32,14
2016-01-18,10:20,31,16
2016-01-18,10:21,29,15
2016-01-18,10:22,28,16
2016-01-18,10:23,33,15
2016-01-18,10:24,31,15
2016-01-18,10:25,30,17
2016-01-18,10:26,30,17
2016-01-18,10:27,29,17
2016-01-18,10:28,31,17
2016-01-18,10:29,32,18
2016-01-18,10:30,30,16
2016-01-18,10:31,30,17
2016-01-18,10:32,29,16
2016-01-18,10:33,29,17
2016-01-18,10:34,29,17
2016-01-18,10:35,27,22
2016-01-18,10:36,26,21
2016-01-18,10:37,26,20
2016-01-18,10:38,28,21
2016-01-18,10:39,28,20
2016-01-18,10:40,26,19
2016-01-18,10:41,26,19
2016-01-18,10:42,26,19
2016-01-18,10:43,26,19
2016-01-18,10:44,26,20
2016-01-18,10:45,26,19
2016-01-18,10:46,29,19
2016-01-18,10:47,29,17
2016-01-18,10:48,28,17
2016-01-18,10:49,30,17
2016-01-18,10:50,30,17
2016-01-18,10:51,31,17
2016-01-18,10:52,33,17
2016-01-18,10:53,33,15
2016-01-18,10:54,33,15
2016-01-18,10:55,33,15
2016-01-18,10:56,33,15
2016-01-18,10:57,32,15
2016-01-18,10:58,32,15
