Date,Time,limitUp,limitDown
2016-03-11,9:25,8,10
2016-03-11,9:30,7,8
2016-03-11,9:31,7,9
2016-03-11,9:32,7,8
2016-03-11,9:33,7,9
2016-03-11,9:34,8,9
2016-03-11,9:35,8,10
2016-03-11,9:36,9,10
2016-03-11,9:37,10,10
2016-03-11,9:38,8,9
2016-03-11,9:39,8,9
2016-03-11,9:40,9,9
2016-03-11,9:41,9,9
2016-03-11,9:42,9,9
2016-03-11,9:43,9,8
2016-03-11,9:44,9,8
2016-03-11,9:45,9,8
2016-03-11,9:46,9,8
2016-03-11,9:47,9,8
2016-03-11,9:48,9,9
2016-03-11,9:49,9,9
2016-03-11,9:50,9,9
2016-03-11,9:51,9,9
2016-03-11,9:52,9,9
2016-03-11,9:53,10,9
2016-03-11,9:54,10,9
2016-03-11,9:55,10,9
2016-03-11,9:56,10,9
2016-03-11,9:57,10,9
2016-03-11,9:58,10,8
2016-03-11,9:59,10,8
2016-03-11,10:00,10,9
2016-03-11,10:01,10,9
2016-03-11,10:02,10,9
2016-03-11,10:03,10,9
2016-03-11,10:04,11,9
2016-03-11,10:05,11,9
2016-03-11,10:06,11,9
2016-03-11,10:07,11,9
2016-03-11,10:08,11,9
2016-03-11,10:09,11,9
2016-03-11,10:10,11,9
2016-03-11,10:11,11,9
2016-03-11,10:12,11,9
2016-03-11,10:13,11,9
2016-03-11,10:14,11,9
2016-03-11,10:15,11,9
2016-03-11,10:16,11,9
2016-03-11,10:17,11,9
2016-03-11,10:18,11,9
2016-03-11,10:19,11,9
2016-03-11,10:20,11,9
2016-03-11,10:21,11,9
2016-03-11,10:22,11,9
2016-03-11,10:23,11,9
2016-03-11,10:24,11,9
2016-03-11,10:25,11,9
2016-03-11,10:26,11,9
2016-03-11,10:27,11,9
2016-03-11,10:28,11,9
2016-03-11,10:29,10,9
2016-03-11,10:30,9,9
2016-03-11,10:31,10,9
2016-03-11,10:32,9,9
2016-03-11,10:33,10,9
2016-03-11,10:34,10,9
2016-03-11,10:35,9,9
2016-03-11,10:36,9,9
2016-03-11,10:37,9,9
2016-03-11,10:38,9,9
2016-03-11,10:39,10,9
2016-03-11,10:40,11,9
2016-03-11,10:41,10,9
2016-03-11,10:42,10,9
2016-03-11,10:43,10,9
2016-03-11,10:44,10,9
2016-03-11,10:45,11,9
2016-03-11,10:46,11,9
2016-03-11,10:47,11,9
2016-03-11,10:48,11,9
2016-03-11,10:49,11,9
2016-03-11,10:50,11,9
2016-03-11,10:51,11,9
2016-03-11,10:52,11,9
2016-03-11,10:53,11,9
2016-03-11,10:54,11,9
2016-03-11,10:55,11,9
2016-03-11,10:56,11,9
2016-03-11,10:57,12,9
2016-03-11,10:58,12,9
2016-03-11,10:59,12,9
2016-03-11,11:00,12,9
2016-03-11,11:01,12,9
2016-03-11,11:02,12,9
2016-03-11,11:03,12,9
2016-03-11,11:04,11,9
2016-03-11,11:05,12,9
2016-03-11,11:06,11,9
2016-03-11,11:07,11,9
2016-03-11,11:08,11,9
2016-03-11,11:09,11,9
2016-03-11,11:10,11,9
2016-03-11,11:11,12,9
2016-03-11,11:12,12,9
2016-03-11,11:13,12,9
2016-03-11,11:14,11,9
2016-03-11,11:15,12,9
2016-03-11,11:16,12,9
2016-03-11,11:17,12,9
2016-03-11,11:18,12,9
2016-03-11,11:19,12,9
2016-03-11,11:20,12,9
2016-03-11,11:21,12,9
2016-03-11,11:22,12,9
2016-03-11,11:23,12,9
2016-03-11,11:24,12,9
2016-03-11,11:25,12,9
2016-03-11,11:26,13,9
2016-03-11,11:27,13,9
2016-03-11,11:28,13,9
2016-03-11,11:29,13,9
2016-03-11,11:30,13,9
2016-03-11,13:00,15,9
2016-03-11,13:01,15,9
2016-03-11,13:02,15,9
2016-03-11,13:03,15,9
2016-03-11,13:04,15,9
2016-03-11,13:05,15,9
2016-03-11,13:06,15,9
2016-03-11,13:07,15,9
2016-03-11,13:08,15,9
2016-03-11,13:09,15,9
2016-03-11,13:10,15,9
2016-03-11,13:11,15,9
2016-03-11,13:12,16,9
2016-03-11,13:13,16,9
2016-03-11,13:14,16,9
2016-03-11,13:15,16,9
2016-03-11,13:16,16,9
2016-03-11,13:17,16,9
2016-03-11,13:18,16,8
2016-03-11,13:19,16,8
2016-03-11,13:20,16,8
2016-03-11,13:21,16,9
2016-03-11,13:22,16,9
2016-03-11,13:23,16,9
2016-03-11,13:24,16,9
2016-03-11,13:25,16,9
2016-03-11,13:26,16,9
2016-03-11,13:27,16,9
2016-03-11,13:28,16,9
2016-03-11,13:29,16,9
2016-03-11,13:30,16,9
2016-03-11,13:31,16,9
2016-03-11,13:32,16,9
2016-03-11,13:33,16,9
2016-03-11,13:34,16,9
2016-03-11,13:35,16,9
2016-03-11,13:36,16,9
2016-03-11,13:37,16,9
2016-03-11,13:38,16,9
2016-03-11,13:39,16,9
2016-03-11,13:40,16,9
2016-03-11,13:41,16,9
2016-03-11,13:42,16,9
2016-03-11,13:43,16,9
2016-03-11,13:44,16,9
2016-03-11,13:45,17,9
2016-03-11,13:46,17,9
2016-03-11,13:47,16,9
2016-03-11,13:48,16,9
2016-03-11,13:49,15,9
2016-03-11,13:50,15,9
2016-03-11,13:51,15,9
2016-03-11,13:52,15,9
2016-03-11,13:53,15,9
2016-03-11,13:54,15,9
2016-03-11,13:55,15,9
2016-03-11,13:56,15,9
2016-03-11,13:57,15,9
2016-03-11,13:58,15,9
2016-03-11,13:59,15,9
2016-03-11,14:00,16,9
2016-03-11,14:01,15,9
2016-03-11,14:02,16,9
2016-03-11,14:03,15,9
2016-03-11,14:04,15,9
2016-03-11,14:05,15,9
2016-03-11,14:06,15,9
2016-03-11,14:07,15,9
2016-03-11,14:08,15,9
2016-03-11,14:09,15,9
2016-03-11,14:10,15,9
2016-03-11,14:11,15,9
2016-03-11,14:12,15,9
2016-03-11,14:13,15,9
2016-03-11,14:14,14,9
2016-03-11,14:15,13,9
2016-03-11,14:16,14,9
2016-03-11,14:17,14,9
2016-03-11,14:18,14,9
2016-03-11,14:19,14,9
2016-03-11,14:20,14,9
2016-03-11,14:21,14,9
2016-03-11,14:22,15,10
2016-03-11,14:23,16,9
2016-03-11,14:24,17,9
2016-03-11,14:25,17,9
2016-03-11,14:26,17,9
2016-03-11,14:27,18,9
2016-03-11,14:28,17,9
2016-03-11,14:29,17,9
2016-03-11,14:30,17,9
2016-03-11,14:31,18,9
2016-03-11,14:32,18,10
2016-03-11,14:33,17,10
2016-03-11,14:34,17,10
2016-03-11,14:35,18,10
2016-03-11,14:36,18,10
2016-03-11,14:37,18,10
2016-03-11,14:38,18,10
2016-03-11,14:39,18,10
2016-03-11,14:40,19,10
2016-03-11,14:41,18,10
2016-03-11,14:42,18,10
2016-03-11,14:43,19,10
2016-03-11,14:44,18,10
2016-03-11,14:45,19,9
2016-03-11,14:46,19,9
2016-03-11,14:47,18,9
2016-03-11,14:48,19,9
2016-03-11,14:49,19,9
2016-03-11,14:50,20,9
2016-03-11,14:51,21,9
2016-03-11,14:52,23,9
2016-03-11,14:53,23,9
2016-03-11,14:54,23,9
2016-03-11,14:55,23,9
2016-03-11,14:56,23,9
2016-03-11,14:57,24,9
2016-03-11,14:58,24,9
2016-03-11,14:59,25,9
2016-03-11,15:00,25,9
