Instrument_0,Instrument_1,Trace_Statistic_0,Crit_0,Trace_Statistic_1,Crit_1
A,AAME,19.1259649755,[ 13.4294  15.4943  19.9349],4.21136188025,[ 2.7055  3.8415  6.6349]
A,ABC,36.7528591952,[ 13.4294  15.4943  19.9349],11.9126672707,[ 2.7055  3.8415  6.6349]
A,ABIO,43.8511146949,[ 13.4294  15.4943  19.9349],14.7861698663,[ 2.7055  3.8415  6.6349]
A,ABTL,36.0206372097,[ 13.4294  15.4943  19.9349],13.2710323435,[ 2.7055  3.8415  6.6349]
A,ACHC,24.2611806712,[ 13.4294  15.4943  19.9349],11.2370163434,[ 2.7055  3.8415  6.6349]
