,0,1,USDJPY,JPYEUR,EURGBP,GBPCHF
34,1999.01.13,12:00,157.451901944,93.092238627,75.341348667,183.161022284
35,1999.01.13,16:00,163.078275571,89.2094908644,75.8097229482,181.379910812
36,1999.01.13,20:00,161.909721048,91.4058796235,75.006795609,182.906577788
37,1999.01.14,0:00,162.991715976,90.2583126736,74.8729743858,182.56731846
38,1999.01.14,4:00,163.337954353,91.3436967263,73.6016727653,182.855688889
39,1999.01.14,8:00,164.636348267,89.7640994738,74.0700470465,182.804799989
40,1999.01.14,12:00,166.367540152,88.4110256323,74.0031364349,183.534207545
41,1999.01.14,16:00,162.385798817,90.2273837239,74.4715107162,183.076207452
42,1999.01.14,20:00,164.030431107,88.3804216803,74.0031364349,182.770874057
43,1999.01.15,0:00,162.861876585,90.2273837239,73.5347621537,182.872651855
44,1999.01.15,4:00,161.43364328,91.2504223807,73.9362258233,182.448577695
45,1999.01.15,8:00,159.442772612,91.8729013473,73.3340303189,182.703022191
46,1999.01.15,12:00,161.520202874,91.7794103365,72.5311029796,184.195763234
47,1999.01.15,16:00,166.021301775,90.2273837239,71.1928907475,187.469615749
48,1999.01.15,20:00,165.155705833,91.530299584,69.7208572922,188.26687517
49,1999.01.16,0:00,166.367540152,92.1224454301,70.5237846315,188.26687517
50,1999.01.18,0:00,163.640912933,93.029514067,70.8583376895,187.571393547
51,1999.01.18,4:00,164.506508876,91.7482647216,70.9921589127,187.486578715
52,1999.01.18,8:00,168.531530008,88.9634675903,70.5237846315,188.114208472
53,1999.01.18,12:00,167.319695689,88.6870570293,70.5237846315,188.775764162
54,1999.01.18,16:00,167.276415892,89.1787244136,71.1259801359,188.351690002
55,1999.01.18,20:00,166.800338123,89.45578497,71.1259801359,187.808875077
56,1999.01.19,0:00,166.800338123,90.1037762577,70.5906952431,187.995467707
57,1999.01.19,4:00,168.531530008,89.1787244136,70.9252483011,187.774949144
58,1999.01.19,8:00,165.458664413,90.5368898861,71.1928907475,187.350874984
59,1999.01.19,12:00,164.29010989,91.0329989059,69.7208572922,188.368652968
60,1999.01.19,16:00,164.59306847,91.3126052778,70.3899634083,187.401763883
61,1999.01.19,20:00,163.164835165,92.091245649,70.6576058547,187.724060245
62,1999.01.20,0:00,163.337954353,92.2785526684,70.3230527967,187.961541775
63,1999.01.20,4:00,162.126120034,92.8415028859,69.7877679038,188.673986363
64,1999.01.20,8:00,162.688757396,93.9721157881,69.921589127,188.894504927
65,1999.01.20,12:00,163.640912933,92.9041732796,70.5906952431,188.928430859
66,1999.01.20,16:00,163.424513948,93.4374403721,71.5274438055,189.165912389
67,1999.01.20,20:00,161.173964497,95.6479123657,71.3936225823,189.013245691
68,1999.01.21,0:00,161.606762468,95.489259312,70.8583376895,189.505171717
69,1999.01.21,4:00,162.429078614,94.634515308,70.6576058547,189.946208843
70,1999.01.21,8:00,161.087404903,95.679707976,71.795086252,188.317764069
71,1999.01.21,12:00,159.269653423,97.0495733664,71.2598013591,188.657023397
72,1999.01.21,16:00,163.857311919,92.6850164837,70.4568740199,189.505171717
73,1999.01.21,20:00,164.29010989,91.9664465244,71.0590695243,189.454282818
74,1999.01.22,0:00,164.333389687,91.530299584,71.1928907475,188.521319666
75,1999.01.22,4:00,164.116990702,91.2504223807,71.8619968636,187.41872685
76,1999.01.22,8:00,164.073710904,91.5614451988,70.9921589127,188.182060338
77,1999.01.22,12:00,165.545224007,91.5614451988,70.3899634083,188.046356607
78,1999.01.22,16:00,168.401690617,88.6870570293,69.4532148458,189.53909765
79,1999.01.22,20:00,167.536094675,89.1787244136,69.587036069,190.115838507
80,1999.01.23,0:00,168.142011834,88.9020430212,69.9884997386,189.691764347
81,1999.01.25,0:00,167.709213863,89.6407086728,69.3863042342,189.250727221
82,1999.01.25,4:00,167.665934066,88.9942340411,70.0554103502,188.199023304
83,1999.01.25,8:00,167.492814877,89.0249463257,69.5201254574,188.063319573
84,1999.01.25,12:00,166.324260355,90.1655799908,69.252483011,188.521319666
85,1999.01.25,16:00,164.939306847,92.2472987209,68.5164662833,189.946208843
86,1999.01.25,20:00,165.415384615,92.2472987209,67.8473601673,191.116653525
87,1999.01.26,0:00,163.857311919,93.186325467,67.7135389441,191.252357256
88,1999.01.26,4:00,164.116990702,92.8415028859,68.0480920021,191.082727592
89,1999.01.26,8:00,163.467793745,93.7203508875,66.9106116048,192.151394475
90,1999.01.26,12:00,164.506508876,92.1224454301,67.9811813905,190.539912667
91,1999.01.26,16:00,165.80490279,91.2815138292,68.1150026137,191.523764718
92,1999.01.26,20:00,165.069146238,92.4973303003,67.378985886,192.405838971
93,1999.01.27,0:00,164.419949281,93.9406451755,66.9775222164,192.948653896
94,1999.01.27,4:00,164.419949281,94.4450416372,67.044432828,192.812950165
95,1999.01.27,8:00,166.540659341,92.6850164837,67.1782540512,193.406653989
96,1999.01.27,12:00,167.579374472,91.4058796235,67.2451646628,192.558505669
97,1999.01.27,16:00,173.162468301,88.7791938829,67.1782540512,193.220061358
98,1999.01.27,20:00,173.465426881,90.1037762577,66.3084161004,195.018135796
99,1999.01.28,0:00,172.210312764,91.436971072,65.9738630423,194.882432065
100,1999.01.28,4:00,172.599830938,90.5059067701,66.375326712,194.865469099
101,1999.01.28,8:00,171.387996619,90.5988019518,66.9106116048,194.356580107
102,1999.01.28,12:00,174.244463229,91.0640361882,64.501829587,196.867099134
103,1999.01.28,16:00,175.88909552,89.5174262043,64.167276529,197.053691764
104,1999.01.28,20:00,175.88909552,88.8098520012,64.5687401986,195.968061915
105,1999.01.29,0:00,175.715976331,89.5174262043,64.7025614219,195.628802587
106,1999.01.29,4:00,175.239898563,89.1787244136,65.4385781495,195.052061729
107,1999.01.29,8:00,176.278613694,89.2094908644,64.501829587,195.900210049
108,1999.01.29,12:00,174.244463229,90.784754814,63.7658128594,196.951913966
109,1999.01.29,16:00,174.287743026,91.4992081354,63.6989022478,196.443024974
110,1999.01.29,20:00,175.845815723,90.722788582,63.3643491898,195.917173016
111,1999.01.30,0:00,175.802535926,90.784754814,63.2974385781,196.595691672
112,1999.02.01,0:00,172.599830938,92.1848991587,63.9665446942,196.03591378
113,1999.02.01,4:00,172.902789518,93.5945767698,63.1636173549,196.256432344
114,1999.02.01,8:00,172.037193576,92.7162704311,64.1003659174,195.289543259
115,1999.02.01,12:00,171.864074387,95.20396548,63.7658128594,196.052876747
116,1999.02.01,16:00,170.60896027,97.273388463,62.0261369577,197.257247361
117,1999.02.01,20:00,170.349281488,97.273388463,62.4276006273,197.12154363
118,1999.02.02,0:00,169.959763314,97.2414303539,62.5614218505,196.816210235
