,Random_Strategy_Cumulative_Return_R
0,-0.2949240712
1,-0.0707793114224
2,0.0526354624396
3,0.0264826472009
4,-0.138548678065
5,0.0136375931657
6,0.122245636647
7,-0.124129239436
8,-0.105973153833
9,0.384006197794
10,-0.31835977833
11,-0.0247985394033
12,0.0956742869155
13,-0.00532523729402
14,-0.149800900437
15,0.23251705784
16,-0.09538616977
17,0.104233874124
18,-0.138759231532
19,-0.00396396775743
20,-0.362483633917
21,-0.0545100035617
22,-0.208986973265
23,0.225750633712
24,0.0675240157626
25,0.0231171867916
26,0.231450737486
27,-0.0252463856389
28,-0.0580255104957
29,-0.0333096988046
30,-0.5901030567
31,-0.151545623189
32,0.0572921809724
33,-0.00143284418169
34,-0.0837064401223
35,0.380933659409
36,-0.131127748992
37,-0.308202805752
38,-0.157834411953
39,-0.144696725617
40,0.168981730163
41,0.472508200179
42,0.219053699723
43,0.21440139495
44,0.182657966731
45,-0.424623450366
46,-0.16871267723
47,-0.020408555444
48,0.0579301864409
49,-0.337768939053
50,0.362935062549
51,-0.182237223419
52,-0.401387746198
53,0.347084302536
54,0.209417160917
55,0.0281248582131
56,-0.0200538694355
57,-0.265690344591
58,-0.0204292844505
59,-0.127205951813
60,0.228506957994
61,0.204115655195
62,0.295450236845
63,-0.139370555699
64,-0.180692884282
65,0.100867755574
66,0.0337321410114
67,0.179508168678
68,-0.217719050027
69,0.0366857944493
70,0.290219244531
71,-0.243176968444
72,0.117730433679
73,-0.188140458238
74,0.389531255789
75,-0.119780972018
76,0.166581020197
77,-0.00483148703197
78,0.169645758875
79,-0.0494606376946
80,0.0400551606078
81,0.0534733888922
82,0.460708386788
83,0.198109421911
84,0.119948521851
85,0.11850065594
86,0.151685120119
87,0.295843938963
88,0.0266558890244
89,-0.140495020437
90,0.182804562853
91,0.129054785332
92,-0.0900937666808
93,0.125863904548
94,0.431004737662
95,-0.305735637856
96,-0.170421969999
97,-0.365668777442
98,-0.0680300340207
99,-0.101674033192
100,0.0156457663781
101,-0.133759635297
102,-0.197079699634
103,0.506591157021
104,-0.106550220713
105,-0.0408322015707
106,0.0773563701576
107,-0.265072079646
108,-0.309213540282
109,-0.0502926483885
110,-0.485169326483
111,-0.21163197605
112,-0.015856940873
113,0.368706056402
114,-0.274704263878
115,0.0619492825521
116,-0.127229532541
117,0.641762411271
118,0.0516538525232
119,0.467475931911
120,0.314733365248
121,0.0996312833534
122,0.126281749595
123,-0.334355216553
124,-0.265221069428
125,-0.164994258227
126,0.0159301315351
127,0.0830426837291
128,-0.270425520857
129,0.082530171246
130,-0.425593888726
131,-0.538796353331
132,0.182933436534
133,-0.0215725266302
134,0.269374252248
135,-0.359402116431
136,0.51589161764
137,-0.253730064423
138,-0.213568581948
139,-0.555689909438
140,-0.037629576116
141,0.417301226464
142,0.517032659323
143,-0.114694756478
144,0.281858601068
145,-0.17285601113
146,0.28598782454
147,0.479779893421
148,-0.594836624525
149,0.0964243835115
150,-0.00345823635157
151,0.420848576795
152,0.0818548085519
153,0.116623168452
154,-0.168500168456
155,0.156428229029
156,0.0275239614354
157,0.105284705216
158,0.38202287774
159,0.126944843801
160,0.133850990819
161,-0.215972277967
162,0.376364090958
163,-0.365738162409
164,0.0842304471478
165,0.255623426846
166,0.679743104865
167,0.22872097563
168,0.214287028018
169,-0.108141664295
170,0.443972735987
171,0.111666422571
172,-0.332995386851
173,0.283186221583
174,-0.406547185056
175,-0.0586265315784
176,-0.229312997583
177,0.29523198679
178,0.242832718631
179,0.133998704702
180,-0.365571082811
181,0.188635000143
182,-0.22488481248
183,-0.0119208639451
184,0.212082732741
185,-0.0585528557031
186,-0.0031606996777
187,0.02351143371
188,-0.245405408158
189,0.173520669531
190,0.123391016053
191,0.270471086724
192,0.138805466415
193,0.625066520139
194,-0.00944465225395
195,-0.297736282745
196,0.269853195308
197,0.056489295615
198,-0.24929508366
199,-0.448293242262
200,0.041367498152
201,0.0616134094433
202,-0.343472541853
203,0.0947297592119
204,0.517338269167
205,-0.348969878578
206,-0.00478940280218
207,-0.166704576706
208,-0.234915252736
209,-0.010137942591
210,0.421983348298
211,0.523608598263
212,-0.071769207357
213,0.0127242818382
214,0.453265431152
215,-0.31038888449
216,0.00556163855771
217,-0.27492333875
218,-0.164615371165
219,0.191681001651
220,-0.209805053938
221,0.0267006641452
222,0.271908790714
223,0.314201006637
224,0.222841424972
225,-0.339318393396
226,0.251703524081
227,0.0467554439938
228,-0.00338194381422
229,0.454769889449
230,0.12745947758
231,-0.178390322919
232,-0.264715724903
233,-0.310284973913
234,0.0889486445852
235,0.124942211803
236,0.190125412787
237,-0.14693333278
238,-0.108244743267
239,0.233403289228
240,0.0864145950048
241,-0.180777438071
242,0.194715488891
243,-0.654151813908
244,0.341910430224
245,0.523345307555
246,0.309575512476
247,-0.17617298891
248,-0.158541742006
249,-0.410420780706
250,-0.367059781566
251,0.362205727574
252,-0.189142113824
253,-0.253095524973
254,-0.0416351228431
255,0.145026280635
256,0.075792118611
257,0.108398126019
258,0.0939581272983
259,-0.283808362243
260,-0.468481797362
261,-0.110140219683
262,0.00281315785892
263,-0.271760645008
264,0.135300151811
265,-0.176959061872
266,0.267245957451
267,0.141668849517
268,0.27293547257
269,-0.0236863292243
270,0.00981543038051
271,0.0593486773343
272,-0.235052272868
273,0.437287084696
274,-0.237038357463
275,0.0163641629389
276,-0.240536876236
277,0.126985122236
278,-0.24206885529
279,0.170382577069
280,0.25241491783
281,-0.0345760277813
282,0.355225019878
283,-0.0488864467773
284,-0.222394071945
285,0.750177415544
286,0.315564289283
287,0.580572468258
288,-0.187952803533
289,0.384724203991
290,0.451211921727
291,0.355701867712
292,-0.261883272144
293,0.182085822327
294,0.275812544758
295,0.35788078366
296,-0.404109766828
297,-0.240943443241
298,0.448460418164
299,0.292527946242
300,-0.0108506042208
301,-0.301715997103
302,-0.00472928751662
303,-0.0266097643863
304,0.191272824031
305,-0.303197516652
306,-0.150385637799
307,-0.274226851279
308,-0.639561003272
309,0.019269374045
310,0.177531816615
311,-0.0778490194416
312,-0.189128825854
313,0.139366852996
314,-0.0203310546168
315,0.105769037974
316,-0.0269898056638
317,-0.0259355717521
318,0.0723775369954
319,-0.069682739629
320,0.240148023667
321,0.0431875211093
322,0.19709687916
323,0.0602269957527
324,-0.600575802311
325,-0.469735284605
326,0.269134365382
327,0.120765919806
328,0.154858654634
329,-0.0294867640976
330,0.28109258531
331,-0.720869879314
332,0.410932598313
333,-0.37411653003
334,0.27739162475
335,0.0919401834951
336,0.227367524303
337,0.140688790704
338,0.195581964855
339,-0.243113849987
340,-0.0248399491858
341,0.377249484722
342,0.167966544698
343,0.156253856282
344,-0.236050663088
345,-0.078743369448
346,0.491023123612
347,-0.332664538163
348,0.00940123187172
349,-0.0898641937166
350,-0.064913446471
351,0.291156786404
352,-0.107636135426
353,0.273355874179
354,0.493041556484
355,0.318363452493
356,0.0878498600176
357,-0.0156473702132
358,-0.362482684599
359,0.0986659579208
360,-0.113243844411
361,0.199514566161
362,-0.461279861096
363,0.0489378550145
364,-0.381452917389
365,-0.256263182181
366,0.227161329838
367,-0.627219992671
368,0.165790829042
369,0.0938895546254
370,0.134965759875
371,0.0831329119729
372,0.338394037229
373,0.314108014003
374,0.215353464783
375,0.186431874464
376,-0.28362274755
377,0.421377282242
378,0.155662986616
379,0.378063074142
380,0.028264584574
381,-0.0516151349512
382,-0.0631930233797
383,0.146555477974
384,-0.270114196819
385,0.178165109043
386,-0.0103798141575
387,0.0687398928151
388,-0.144172790781
389,0.343148947522
390,0.0951407511358
391,0.412949878808
392,0.807843640353
393,-0.147627218065
394,0.0483555135855
395,0.19958246106
396,-0.0334160914238
397,-0.380451793389
398,0.147717296256
399,0.503181062993
400,-0.70732288894
401,-0.18342378012
402,-0.220728244251
403,-0.168738944439
404,-0.316940904066
405,0.0546680713559
406,0.00498161638992
407,-0.108389218417
408,-0.283036168609
409,-0.036825000721
410,0.369631050176
411,-0.208727749593
412,0.206178408463
413,0.438024940352
414,0.0445432449584
415,-0.0390339028538
416,-0.24189331322
417,0.591929748168
418,-0.350554072497
419,-0.0910102213841
420,0.132370052193
421,0.134478957229
422,-0.201117282722
423,-0.113367182254
424,-0.0985582934636
425,0.0789189518118
426,0.174911712462
427,0.0255725298262
428,-0.253436597652
429,-0.089024432426
430,-0.00771397594448
431,-0.163814363108
432,0.0591611829481
433,-0.141421085198
434,-0.239905276749
435,0.125671676749
436,-0.355529350435
437,-0.0745938998249
438,0.180108217501
439,-0.268142002199
440,-0.136645899177
441,0.0208926547957
442,0.0423031654847
443,0.178016565425
444,-0.438478691307
445,0.157252824104
446,0.209972868158
447,0.370907456727
448,0.0751018967481
449,0.290286350852
450,-0.159230707794
451,-0.203254321697
452,-0.226831523319
453,-0.258315534946
454,-0.0269609508001
455,-0.08714249533
456,0.101466092171
457,0.173024250462
458,-0.164031652266
459,-0.21909833034
460,-0.0255869476223
461,0.242547153165
462,-0.0480454038721
463,0.135162929567
464,-0.309004979545
465,-0.496265455177
466,-0.055083046373
467,-0.117875871892
468,-0.510606704012
469,-0.0151842639937
470,0.31400113115
471,0.0570878552223
472,0.0471488125904
473,-0.231020911442
474,-0.0930183211651
475,0.0855903965076
476,0.0545947693208
477,0.12672111278
478,-0.282925485892
479,0.0161173996909
480,-0.064872660431
481,-0.182653666568
482,-0.22912305425
483,-0.0988577286773
484,-0.497123694987
485,0.324961786373
486,-0.219764072824
487,-0.0929155798065
488,-0.23785408688
489,0.128385307121
490,-0.0790780830545
491,0.0706908298969
492,-0.116893946857
493,0.0309363138765
494,0.15156511978
495,0.255675338914
496,0.00961637466969
497,0.143901188588
498,0.0264812888621
499,-0.0922981651358
500,0.388758876095
501,0.304661864896
502,0.395488316143
503,-0.356479104299
504,-0.225721377995
505,-0.254209500737
506,0.124174563172
507,-0.188825347173
508,-0.156133540758
509,-0.147736984229
510,-0.0682633910026
511,0.179912507903
512,0.0329123532975
513,-0.157845239191
514,0.248440519866
515,0.194305113871
516,0.0104976228986
517,-0.449064270675
518,-0.191134811984
519,0.225078873291
520,0.516358003498
521,0.0865140807443
522,0.107190938332
523,0.486280520856
524,0.296555004709
525,0.0190285932398
526,0.258691102043
527,0.340583622162
528,-0.18393821681
529,-0.43998200162
530,0.319449166314
531,-0.340125180507
532,0.268871531007
533,-0.317759389939
534,-0.160540517616
535,-0.203900894887
536,0.419019287168
537,-0.0014379908607
538,0.295540047849
539,0.234435885312
540,-0.054697814675
541,0.498580954716
542,0.012435580902
543,-0.0480205474614
544,0.00587925288429
545,0.00526582480051
546,0.211698415463
547,-0.23044046964
548,-0.175708380248
549,0.467165321947
550,0.20150827735
551,-0.11623402379
552,-0.036319428437
553,0.311603116335
554,-0.210990120006
555,-0.197704132215
556,0.783815336146
557,0.173972279497
558,-0.420177086514
559,0.359788770229
560,0.423271281736
561,0.474472449404
562,-0.196352109119
563,0.175257504276
564,0.189979502467
565,0.427243552677
566,-0.218347873512
567,0.0803438589227
568,-0.547325872253
569,-0.185818987842
570,0.191337889184
571,0.0389467514403
572,-0.0593339909724
573,0.0188854220261
574,-0.251134120197
575,-0.0789704615344
576,-0.451525893458
577,-0.0732608653631
578,-0.0400137603689
579,0.128269381119
580,0.506168226333
581,-0.303783037741
582,-0.432766673443
583,0.265956063993
584,-0.147501311799
585,-0.113308508069
586,0.687240835833
587,-0.380044356578
588,-0.241171719981
589,0.0588800788309
590,0.251601602354
591,0.343521307263
592,-0.453498400419
593,0.131850028464
594,0.215193120883
595,-0.0428971061427
596,0.103725758532
597,0.134707998118
598,0.222584301858
599,0.337828481271
600,-0.372217735464
601,-0.389080262512
602,0.084882967718
603,-0.344851872266
604,-0.261247145952
605,-0.103774801063
606,0.293036277048
607,-0.0678641229816
608,-0.102555798991
609,-0.185934573384
610,0.247805935666
611,-0.165812961555
612,0.190802835179
613,-0.276240434787
614,-0.154089266185
615,0.241289757702
616,0.14334290336
617,-0.358838355514
618,-0.0667466107456
619,0.0658212605471
620,0.190384631956
621,-0.194349206994
622,-0.00108788018008
623,0.269781227638
624,0.12392687131
625,0.21828634324
626,0.208745114117
627,0.0736566398967
628,0.458833285142
629,-0.216761392863
630,-0.0106836424439
631,-0.160402340877
632,0.10160151268
633,-0.244025323493
634,0.149889017772
635,-0.292671065076
636,0.119432568682
637,0.0142572780363
638,0.332361492468
639,-0.274825285493
640,0.0544807913031
641,0.219424626649
642,0.0843982276422
643,0.199969020513
644,0.0748647278105
645,-0.211069290491
646,-0.474849399881
647,0.285784404523
648,-0.149729615424
649,0.341006273683
650,0.181841827896
651,0.490595533662
652,-0.367858046401
653,-0.354081444243
654,-0.138767465222
655,-0.253195323869
656,-0.0338352277169
657,0.582884243868
658,-0.411932607513
659,-0.750678310814
660,-0.263873145283
661,-0.320928150824
662,-0.130641691032
663,0.131995047987
664,-0.208911087194
665,0.15291191199
666,0.318118505644
667,0.183413881152
668,-0.458174552559
669,0.0973029713443
670,0.266737689084
671,0.0312134640378
672,-0.115704612896
673,-0.306083159055
674,0.358225337525
675,-0.0533215761753
676,-0.0486054823927
677,0.0094476766826
678,0.278339158097
679,0.793228716261
680,-0.147690159176
681,0.238705901795
682,0.497494779337
683,-0.185529982557
684,-0.200172191747
685,-0.349725972404
686,0.0848384784073
687,0.0422055441508
688,-0.327082944258
689,0.287500553315
690,0.0453359526606
691,0.167545224766
692,0.329182655124
693,0.0687508908579
694,0.301823498516
695,0.149848584326
696,-0.135208031796
697,0.114407936493
698,0.241692577279
699,0.119810017303
700,0.654895873082
701,0.0729600835955
702,-0.368512119367
703,-0.405840999531
704,-0.142678670871
705,-0.143465629958
706,0.0151557587825
707,0.455040688446
708,-0.337417298942
709,-0.217567485547
710,0.424312782966
711,-0.0697684150313
712,0.133869915887
713,-0.00694648372962
714,0.227426135994
715,-0.0143531796548
716,0.0179076533109
717,-0.0523111139176
718,0.269863369155
719,-0.0328465459029
720,-0.0675220305214
721,0.254715703203
722,-0.0429865119607
723,0.262166381162
724,0.242557618311
725,-0.114731704507
726,-0.30185386824
727,-0.140642436816
728,0.400316213306
729,0.283855030104
730,-0.270387939029
731,0.0798190898468
732,0.389773444331
733,-0.18163150779
734,-0.146446488914
735,0.282224076233
736,-0.221985555295
737,-0.0229469987683
738,0.00924750168397
739,0.0522443727215
740,0.17913668863
741,-0.00736481243871
742,-0.195802108856
743,-0.162729307445
744,0.0443314417026
745,-0.0524283227292
746,-0.288256462981
747,0.149740739835
748,0.317093528465
749,-0.0266858518044
750,-0.439240870239
751,-0.351541830181
752,-0.0275802562555
753,0.248052424793
754,0.419372645634
755,0.00440815700553
756,-0.167558563075
757,0.564796845344
758,-0.396590669221
759,0.359117392861
760,0.0618092451821
761,0.0615893543311
762,0.116332666771
763,-0.346862684768
764,0.00349618486769
765,-0.0536514636648
766,0.319892368917
767,0.0880394278958
768,0.14414636874
769,0.000806216066763
770,-0.110610959234
771,-0.0358469412234
772,0.286852420803
773,-0.375475894134
774,-0.167154139176
775,0.267832642969
776,-0.240183100957
777,0.00933026823126
778,0.242118683607
779,0.0828732006624
780,-0.0894188579426
781,0.22828318136
782,-0.256291963193
783,-0.224572496844
784,-0.104069217444
785,-0.0823776434136
786,0.124437914966
787,-0.012748112017
788,-0.182528660406
789,0.128958464349
790,-0.0150702843081
791,0.287794759833
792,-0.432859510619
793,-0.167259045758
794,0.396458335671
795,-0.211645099651
796,0.00383473440769
797,0.405932589694
798,0.0499593553608
799,0.252777481875
800,0.0929998341441
801,0.512669613297
802,-0.226796595437
803,-0.0831465150674
804,0.116924387812
805,-0.097575465682
806,0.0164642717104
807,-0.0221807143388
808,0.0944826725299
809,0.0432995649856
810,-0.4468966493
811,-0.189221809748
812,-0.0860453963101
813,0.565228897653
814,0.43282082569
815,-0.116580428267
816,-0.0941384742076
817,0.138449013389
818,0.166544063065
819,-0.00389517210697
820,-0.0607895145563
821,-0.00447878007346
822,0.156300233687
823,-0.414267928594
824,-0.0276236756588
825,0.435969098668
826,0.236866567034
827,-0.057000726879
828,-0.394006700633
