,Key_Word,Mean_Nasdaq_Change,Mean_Return,Variance_Nasdaq_Change,Variance_Return
0,debt,6.64385100327,5.22105212109e-05,32.0573364463,0.000196818465249
1,debt,10.1838577257,0.0207222868481,45.1758884778,0.00153673018043
2,debt,-10.182928573,0.0453540280703,40.4974819761,0.00562749038109
3,debt,-7.70915325795,-0.000835503393619,37.0160655702,0.000563754034332
4,color,4.80257556048,-0.000603778734162,25.1616398492,6.42123012059e-05
5,color,-9.26317436822,-0.00139577182721,31.6573855145,0.000227662814417
6,color,14.9993051453,0.00142472703899,20.0762398217,0.000156564180027
7,color,-4.60072265995,0.0357992322291,121.932094775,0.0118165004229
8,stocks,14.3866285533,-0.00502469426739,29.1589327487,0.000829939631606
9,stocks,-8.36844177228,-0.00139213552261,35.3768498341,0.000155727724965
10,stocks,6.61296018097,-0.000589753565913,34.0777565317,7.07207647653e-05
11,stocks,-3.30167923914,0.0222560653703,94.9407938036,0.0020998194961
12,restaurant,5.18211516981,-0.027167517593,63.1026454888,0.00107454002109
13,restaurant,9.42475172533,0.000739157592739,32.3964958661,7.04626647453e-05
14,restaurant,-14.3749416198,0.000167883188664,17.5110737741,0.000730387322159
15,restaurant,-3.23636307401,0.000803988122245,32.4382942708,0.000108267802772
16,portfolio,-5.3915914423,0.0007833821236,35.9379206957,0.000147894450704
17,portfolio,8.70471689293,-0.00193408756815,30.3312539987,9.52685424268e-05
18,portfolio,8.92041274024,0.0173557777432,65.8846653846,0.0011044721165
19,portfolio,-12.057424391,0.0155641069577,57.243670076,0.0246676836812
20,inflation,-7.06114023079,0.00385029021821,39.8954428423,0.000338847999088
21,inflation,5.77439035511,-0.00231791933579,19.9592377333,0.000150712188761
22,inflation,14.6834411028,0.00140652350325,22.4969195777,0.000489913681162
23,inflation,-3.45510629505,0.0613555016199,99.5383198429,0.00365292983199
24,housing,14.6981799906,-0.00189728095731,21.9047873552,0.000518138109408
25,housing,-8.35338596782,0.0025322442481,36.2151717475,0.000549601296219
26,housing,5.36924439581,0.0024638069888,22.7220447983,0.000145930861838
27,housing,-0.0838699473254,0.0615610365234,99.2695952761,0.00216038559939
28,dow jones,8.57118698669,-0.0232336554959,28.6353106045,0.000728604394057
29,dow jones,-10.4176714519,0.0243281667167,32.6364149262,0.00178337498623
30,dow jones,8.02935560674,0.0614732637484,70.6753332056,0.00116069494038
31,dow jones,4.0504802083,0.00346638147237,49.0517516581,0.000147229762584
32,revenue,-9.30339138334,0.0165345272192,72.9052149366,0.00324315584415
33,revenue,2.42755097227,-7.16272109111e-06,11.6551820441,0.000646835589844
34,revenue,8.95875842065,-0.000692940036014,36.4567732827,6.80243876948e-05
35,revenue,-7.31640854503,-0.00209670136323,37.7344071947,0.000105063840974
36,economics,12.8634953538,0.00144932675839,22.4988294096,0.000250026367904
37,economics,-8.53372678611,0.000453589714534,36.809906696,0.00021468821531
38,economics,0.358920500309,0.0185509290255,106.817252809,0.0055361244981
39,economics,4.34620411849,0.00244221704336,15.7826401664,0.000190378152961
40,credit,5.85476428213,0.0305941619333,69.4644632449,0.000870642654991
41,credit,-5.11457295516,-6.44421045951e-05,30.8238568757,0.000179849963031
42,credit,-17.1138298833,0.0130834228483,5.04160283687,0.00105135951028
43,credit,8.8467192046,-0.000501149895489,32.1555015418,0.000115085414921
44,markets,-12.3109068651,0.0204075270576,20.8437564818,0.000460201396895
45,markets,5.32036144886,0.0286362345981,51.7904860835,0.000487634699515
46,markets,11.4211322209,-0.00679931432416,28.0036838629,0.000263931382156
47,markets,0.682495155502,-0.000672908862182,30.9592043688,0.000142927935161
48,return,6.68130367801,-0.000526026685595,49.010435681,3.47101866072e-05
49,return,-17.6099654601,-0.00494544372126,3.66148093784,0.000501463856331
50,return,11.2763760231,-0.0260627089414,25.0100588396,0.00180184527965
51,return,-8.12072015308,-0.00332145537311,20.20725077,0.000156204585973
52,unemployment,3.6272684376,0.000891964967311,28.8366327757,8.80430630057e-05
53,unemployment,2.29591419039,0.0223119548509,97.8340798316,0.00122044435346
54,unemployment,13.4649912337,-0.00201712159742,23.8458463065,0.00023393403974
55,unemployment,-11.2633753135,-0.00158409815029,24.5792061145,0.000249807380758
56,money,-4.5454581193,0.0226527646978,131.64026947,0.0142537744705
57,money,10.1186050656,0.0112825222786,56.6209739524,0.00138100718074
58,money,-7.18623622745,-0.000194649623759,40.2035765762,0.000150922596218
59,money,7.8474347231,0.000759515432525,32.6078288746,7.28262493386e-05
60,religion,-7.31751416248,-0.00119980741951,39.7110729741,0.000157879914409
61,religion,7.58271261423,-0.000996985970862,34.0111900353,8.38016829689e-05
62,religion,13.261069439,0.0118529317828,43.9104013484,0.00103965154182
63,religion,-6.26521432804,-0.00818379640416,73.4825011904,0.00250641221366
64,cancer,5.49768367618,-0.00199607205381,19.6359506916,0.000102260976291
65,cancer,-3.46599330497,0.0417913013321,112.263911261,0.0210729897488
66,cancer,14.9493232875,-0.00198307046962,21.9191945891,0.000304011087117
67,cancer,-7.82468170055,-0.000375965666843,37.0320212899,0.000185047768377
68,growth,7.18893308869,-0.00100292428615,25.7330964767,9.03948666538e-05
69,growth,-15.8084027239,0.017822883277,10.4483966616,0.000812558839854
70,growth,16.168012143,-0.00951801039587,20.796842541,0.000542319466173
71,growth,-3.72590497631,0.00699433830436,43.896116255,0.000375763041359
72,investment,7.44242730252,-0.000612761558993,32.6851133269,6.07105845474e-05
73,investment,-7.51011987875,0.0210112038026,96.2950485191,0.00106770725209
74,investment,16.4126920829,-0.00482535891872,23.7061181894,0.000798675772272
