,Random_Strategy_Cumulative_Return_R
0,0.148653864352
1,-0.214373902354
2,-0.0414109365032
3,0.0127713057278
4,-0.0066931170678
5,-0.0675006142115
6,0.550631609684
7,-0.118992295271
8,0.316686310789
9,0.21463965021
10,0.175360084429
11,0.227996301045
12,-0.180082371356
13,0.263494084216
14,0.107968917112
15,-0.411240082319
16,0.161372200844
17,0.355696428745
18,-0.0756587252966
19,-0.347685787444
20,-0.0320690083153
21,-0.411558814963
22,0.287574679619
23,-0.31242801671
24,-0.0489635451125
25,-0.186558667779
26,-0.425436637936
27,-0.433953776479
28,-0.194320200496
29,-0.0636267732554
30,0.130589261679
31,0.336055696277
32,-0.0612602172563
33,-0.452610342472
34,0.390581846238
35,0.0484607338856
36,-0.278568277731
37,-0.0393984661167
38,-0.40684313504
39,-0.333509977912
40,0.376730302077
41,0.225187208018
42,0.27143990939
43,0.406849756995
44,0.653233239142
45,-0.220950869835
46,-0.0788774534338
47,-0.0810465341426
48,-0.0950110862076
49,-0.115069153577
50,-0.179594461312
51,-0.133878817811
52,-0.114011254727
53,-0.193994770849
54,0.20357989919
55,0.0640217961578
56,0.181286166068
57,-0.211006656961
58,0.00828710795156
59,-0.0833750214267
60,0.323435766459
61,-0.114974633424
62,0.242369610524
63,0.156019104364
64,-0.0608674983443
65,0.596796378469
66,0.377977141604
67,-0.211531047604
68,-0.668873415006
69,0.0758172175126
70,-0.0918340373606
71,-0.106835648874
72,0.265534241827
73,0.360163422442
74,0.390398741569
75,-0.153968815727
76,0.253833171902
77,0.2000844612
78,0.204579473495
79,-0.0420822741351
80,-0.492694526567
81,-0.538626359536
82,0.0233207900108
83,0.33820035072
84,0.28226947152
85,-0.0627193976831
86,0.362382526929
87,-0.435548902705
88,0.249948090753
89,0.265327049928
90,-0.671353628774
91,0.269252697061
92,-0.0355213897275
93,-0.0979188432483
94,-0.0707699631259
95,-0.235427647367
96,-0.0573583617981
97,-0.0118623894374
98,-0.236446746174
99,-0.0326973417221
100,-0.177387429193
101,-0.299195988694
102,-0.312398442655
103,-0.360387779768
104,0.373157894623
105,-0.0551483430295
106,0.120105859712
107,0.00634438125402
108,-0.341142971977
109,-0.0178689661886
110,-0.0327905172317
111,-0.271137530474
112,-0.00758660177738
113,-0.187209083648
114,-0.218700360049
115,0.0389960389192
116,0.0812693253374
117,0.109977468584
118,-0.184561812497
119,0.0428085297328
120,-0.162694850155
121,-0.093855093695
122,0.0791784090001
123,0.0246533944036
124,0.319329166434
125,0.0034207186087
126,0.362726206152
127,-0.0696701074468
128,0.289138471203
129,-0.237570280595
130,-0.148425651163
131,-0.227125983222
132,-0.430831160045
133,0.477452547802
134,-0.0729957824448
135,-0.0214848493201
136,-0.0598772931863
137,0.43365675312
138,-0.298074376436
139,0.128033903468
140,-0.200747803302
141,-0.306884016501
142,0.00445631014129
143,0.475461127564
144,-0.375668238403
145,0.637547491521
146,0.118010031103
147,0.0859572181823
148,-0.0186838143465
149,-0.278660151349
150,-0.0949220797416
151,0.0335964658318
152,-0.166264511811
153,-0.116720592848
154,0.292365510986
155,0.576582111561
156,0.106868955373
157,0.317904565913
158,-0.380435129224
159,-0.0649017981427
160,0.279974850206
161,0.0491679453492
162,0.0702166708621
163,0.0204057806082
164,0.23252341116
165,-0.0404225031722
166,-0.0709637942766
167,-0.259274410135
168,-0.17237410266
169,0.310822518295
170,-0.132726675982
171,-0.115087889269
172,0.301853653049
173,0.0254572182479
174,0.0144982413179
175,-0.17453621429
176,-0.278182922777
177,-0.191452594539
178,-0.26196715088
179,-0.0737894097939
180,-0.0389350505012
181,0.0897293175024
182,0.32340036145
183,0.5128832987
184,0.234997697969
185,0.0490639736483
186,-0.221009480478
187,-0.24416310478
188,0.387396577999
189,0.111101702003
190,-0.29628133975
191,-0.231825405726
192,0.391604771152
193,-0.0918908270631
194,-0.331962584389
195,0.0633175992566
196,-0.184220371084
197,-0.0566828668026
198,0.209735683119
199,0.0825524165935
200,0.401914881664
201,0.195217680701
202,-0.0574508661778
203,0.0574923037243
204,-0.00462536271007
205,0.0799937680896
206,-0.238600054353
207,0.174120941481
208,0.169012849001
209,0.163952188747
210,-0.0392781813842
211,-0.0704227367411
212,-0.118274204838
213,0.151658106625
214,-0.197833436854
215,-0.192795680097
216,-0.0687974933337
217,-0.364034323058
218,0.525836102298
219,-0.382171916879
220,0.468107704074
221,0.245089536924
222,-0.125794760639
223,-0.0508493034658
224,-0.173028685363
225,-0.0435453286442
226,0.282573360402
227,0.00844273716721
228,-0.360820415716
229,-0.162513256528
230,-0.0934648762504
231,-0.0711604534772
232,-0.519025431359
233,-0.0448840215923
234,0.0645839418789
235,-0.353993195748
236,-0.101624067082
237,-0.634181888478
238,-0.139728661679
239,0.126667977186
240,-0.117735560591
241,-0.0500099671186
242,-0.196429871427
243,0.239331459853
244,-0.220340941473
245,0.138303464188
246,0.396189643642
247,0.215562356111
248,-0.327090136483
249,0.0164155802128
250,0.0803353867224
251,-0.030291061355
252,0.0308524861975
253,-0.279596489891
254,-0.55560586625
255,0.0599001783817
256,-0.0195699611098
257,-0.0380189284661
258,0.0164130052961
259,0.573470589973
260,-0.0769422294471
261,-0.0542938043283
262,0.453117811685
263,0.192067780961
264,-0.174886493065
265,0.0400844998076
266,-0.213327291477
267,-0.239506243684
268,-0.221089976533
269,-0.0271981446044
270,0.161282009488
271,-0.262700550178
272,0.318165286321
273,-0.06573002633
274,-0.313591585379
275,-0.275713002471
276,-0.0319986474132
277,-0.403823439706
278,0.00784843413637
279,-0.0276308114379
280,-0.107697126587
281,0.00727520703071
282,0.203820040173
283,-0.579514618424
284,-0.384581926893
285,0.0859105026266
286,0.229053901703
287,-0.0235431986315
288,-0.585887377069
289,0.232369957015
290,0.269859858996
291,0.25774289885
292,-0.0308745566607
293,-0.444688901174
294,-0.0371751007402
295,-0.0369193833909
296,-0.223714510527
297,0.10614205886
298,-0.217113463287
299,-0.376971686741
300,0.0717152729235
301,0.0109510909401
302,0.117631905473
303,-0.417074130956
304,-0.0299062229808
305,0.335219880454
306,0.0745121578717
307,-0.293815852286
308,0.140355330262
309,-0.219145292215
310,0.270384168114
311,-0.595141254905
312,-0.264129550316
313,0.131258191246
314,-0.0773939274273
315,-0.195859870564
316,-0.0307999410201
317,0.136688731626
318,0.313962986968
319,-0.167150093013
320,-0.0170593892435
321,0.0727208126824
322,-0.07795413688
323,-0.18578926615
324,-0.232398731849
325,0.367895702193
326,0.116928426912
327,0.0996916459825
328,-0.485005591596
329,0.324452125718
330,0.321471620417
331,0.225003056362
332,0.391762841039
333,-0.342156576368
334,-0.214361120069
335,-0.331442189275
336,-0.0654002460519
337,-0.364340427596
338,0.371369565034
339,-0.131923620525
340,0.090465867426
341,0.157567861687
342,-0.129432973905
343,-0.366745063502
344,-0.570905880923
345,-0.256733728553
346,0.00420765421179
347,0.0557367100291
348,-0.186652065066
349,0.341962050673
350,-0.690672686618
351,-0.283987994028
352,0.238835587687
353,-0.162729406528
354,-0.149464088093
355,0.113991474158
356,-0.417535074521
357,0.169332673392
358,0.098654751066
359,-0.548776033163
360,-0.0158547544866
361,-0.442613814593
362,-0.124763731095
363,0.0596439804579
364,-0.481714815562
365,0.0373078258119
366,0.0838025139918
367,-0.214998383115
368,0.124835784852
369,-0.0100561220914
370,-0.354515810132
371,-0.311912611996
372,-0.31629873343
373,-0.43233446844
374,0.278313939998
375,-0.161750099063
376,-0.2986654856
377,0.282114091022
